"ID","Hardware Type","Hardware Name","Primary Metric Value","Last Reported","Last Success Timezone"
H127727,Data capture,Cell Modem Reporting (RV50),,6/10/2026 10:16:49 AM,
H127725,Gateway,PowerLogger 1000,,6/10/2026 10:19:09 AM,
H127726,Production meter,Elkor Production Meter,284 kW,6/10/2026 10:17:35 AM,
H127730,PV Inverter,SunGrow 60k Inverter - 1,57.6 kW,6/10/2026 10:17:30 AM,
H127731,PV Inverter,SunGrow 60k Inverter - 2,58.9 kW,6/10/2026 10:17:31 AM,
H127732,PV Inverter,SunGrow 60k Inverter - 3,,5/27/2026 8:30:45 PM,
H127733,PV Inverter,SunGrow 60k Inverter - 4,58.3 kW,6/10/2026 10:17:33 AM,
H127734,PV Inverter,SunGrow 60k Inverter - 5,57.4 kW,6/10/2026 10:17:34 AM,
H127735,PV Inverter,SunGrow 60k Inverter - 6,54.5 kW,6/10/2026 10:17:34 AM,
H127736,PV Inverter,SunGrow 60k Inverter - 7,0 W,6/10/2026 10:17:35 AM,
H127737,Weather station,IMT Reference Cell w/ Mod,779 W/m²,6/10/2026 10:17:35 AM,
H127728,Data capture,AE Smart UPS,,6/10/2026 10:17:30 AM,
H320604,Site performance data,Site Performance,,,
