file_name,key_item,Legal Terms,Predicted Legal Terms,levenshtein_distance,levenshtein_distance_scaled,cosine_similarity
,,,,674.3934426229508,0.7369592275522114,0.7982333033306167
,Amendments and/or Estoppels,,,,,
,Assignment by Lessee,,,,,
,Assignment by Lessor,,,,,
,Co-terminus with PPA (Y/N),,,376.0,0.7673469387755102,0.7604888864594157
,Default,,,,,
,Effective Date,,,328.5,0.7239780592760472,0.817480897894485
,Eminent Domain,,,,,
,Expiration Date,,,,,
,Fee Simple Lessor  (Y/N),,,,,
,Fee Simple Owner (Y/N),,,127.0,0.7793616137557385,0.6479669191494551
,First Payment Due,,,,,
,Force Majeure,,,,,
,Governing Law,,,,,
,Initial Term,,,208.16666666666666,0.520548371805411,0.8643965175522458
,Lessee (Tenant) Entity Name,,,,,
,Lessor (Landlord) Entity Name,,,229.0,0.8378463939350397,0.7360483784632604
,Liens,,,524.5,0.7112742048652041,0.8440727079124344
,Non-Disturbance Requirements,,,,,
,Payment Terms,,,777.8,0.775485871832436,0.8239058075320049
,"Per Per ($/kWH, $/kW, $/MW, $/MWh, etc.)",,,,,
,Prevailing Party Provision (Y/N),,,190.5,0.7888401124905686,0.6976742265568743
,Property Size,,,,,
,Property Tax ($),,,,,
,Purchase Options,,,175.0,0.7352941176470589,0.6816155750147006
,Purchase Options (Y/N),,,,,
,Quiet Enjoyment,,,,,
,Removal Requirements,,,3015.5,0.791391129520626,0.8733499613114298
,Removal Timeline & Expectations,,,1568.6,0.8180402555612186,0.8424715615672396
,Renewal Terms,,,448.3333333333333,0.5566910160627111,0.9008240034392453
,Rent Amount,,,1980.0,0.8936702343403591,0.7464668063780118
,Rent Calculation,,,133.0,0.8159509202453987,0.762514522677818
,Rent Commencement,,,232.0,0.7375526430313059,0.7448165903819972
,Rent Escalator (Amount),,,,,
,Rent Escalator (Y/N),,,,,
,Rent Escalator Effective Date,,,158.0,0.727631426856233,0.7452788394026623
,SNDA,,,,,
,Site Access Rights,,,586.6,0.6518672551036764,0.8951281593562486
,Site Control Terms,,,,,
,Site Lease Prepayment (Amount),,,167.0,0.7767441860465116,0.7181204102221903
,Site Lease Prepayment (Y/N),,,376.0,0.8086021505376344,0.7132709905298295
,Summary of Economic Terms,,,,,
,Termination & Removal - Lessee,,,,,
,Termination & Removal - Lessor,,,,,
,Termination - Notice Requirements,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,,,,1055.142857142857,0.6740185433023614,0.8515830827765264
Site Lease - GLD - Canton (ES).pdf,,,,260.0,0.7289046053626392,0.7626627502023489
Site Lease - GLD - Hi Lo Biddy.pdf,,,,1391.0,0.7945657425667659,0.7764955470190202
Site Lease - Shine - DuQuoin.pdf,,,,463.0,0.7390264464463315,0.7934654534622507
Site Lease - Shine - John A Logan (ES).pdf,,,,326.6666666666667,0.6859362082819432,0.8075197737007104
Site Lease - SunRaise - Enterprise Ave. Gardiner.pdf,,,,524.6,0.7383541729848021,0.7996494746053908
Site Lease - SunRaise - Happy Hollow (ES).pdf,,,,560.7,0.7544891592127237,0.81980025452652
Site Lease - Blue Sky- Felicita Town Center.pdf,Amendments and/or Estoppels,," **AMENDMENTS**
This Lease may be amended only by a written instrument executed by both Landlord and Tenant.

**ESTOPPEL CERTIFICATE**
From time to time, upon written request, by either Tenant or its Solar Lender or Landlord or its Lender, made pursuant to Paragraph X.B of this Lease, Landlord or Tenant, as applicable, shall, within thirty (30) days after receipt of said written request, provide an estoppel certificate certifying, to Landlord's or Tenant's respective knowledge as applicable, Tenant's or Landlord's, as applicable, compliance with the terms of this Lease or setting forth any known issues of noncompliance, and making such other representations, warranties and accommodations reasonably requested by a Lender or Solar Lender.",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Assignment by Lessee,Section IX Page 37,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Assignment by Lessor,Section IX Page 37,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Co-terminus with PPA (Y/N),," TERM: Co-terminus with PPA (Y/N): No
DEFINITION: Do the term of the lease and PPA run concurrently: No

""Term. The term (“Term”) of this Lease shall commence on the Effective
Date and end on the Year 25 Termination Date or on such earlier date as this Lease may be
terminated in accordance with the provisions of this Lease.""",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Default,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Effective Date,"THIS SITE LEASE AGREEMENT), (“Leasé”)) is made and entered into as of this 30 day of September 2019 (the ""Effective Date"")"," TERM: Effective Date
This SITE LEASE AGREEMENT (“Lease"") is made and entered into as of this
30 day of September 2019 (the ""Effective Date""), 

DEFINITION: Effective Date is the date that the agreement goes into effect
""Effective Date"" is defined in the preamble of this Lease",167.0,0.6028880866425993,0.9408789861767874
Site Lease - Blue Sky- Felicita Town Center.pdf,Eminent Domain,," **If the whole or substantially the whole of the Buildings,**
Improvements or the Premises should be taken for any public or quasi-public use, by right of
eminent domain or otherwise, or should be sold in lieu of condemnation, then this Lease shall
terminate as of the date when physical possession of the Buildings, Improvements or the Premises
is taken by the condemning authority. If less than the whole or substantially the whole of the
Buildings, Improvements or the Premises is thus taken or sold, Landlord (whether or not the
Premises is affected thereby) may in its reasonable discretion terminate this Lease by giving
written notice thereof to Tenant in which event this Lease shall terminate as of the date when
physical possession of such portion of the Buildings, Improvements or Premises is taken by the
condemning authority.",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Expiration Date,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Fee Simple Owner (Y/N),," ""Fee Simple Owner (Y/N)"" is not found in the context.",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,First Payment Due,"b. Commencing on the Commercial Operation Date, Tenant shall pay the Landlord the Base Rent in equal monthly  installments, equal to the amount, set forth in Section IL.A.1a of this Lease, of the Base Rent for the particular year of the Term, as such Base Rent may be reduced from time to time as set forth in Section I.E, divided by twelve (“Base Rent Installments”), commencing on the Commercial Operation Date and payable on the'first’ calendar day of each calendar month thereafter (“Base Rent Due Date”) throughout the Term. The Base Rent Installments shall be payable in arrears throughout the Term.",,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Force Majeure,," ""Event of Force Majeure"" under this Lease, means: any acts of God, fire, volcano,
earthquake, hurricane, blizzard, prolonged severe weather conditions, infectious disease,
technological disaster, catastrophe, large scale infestation of any type, tremors, flood, explosion,
release of nuclear radiation, release of biotoxic or of biochemical agent(s), the elements, war,
blockade, riots, mob violence or civil disturbance, any act or acts of terrorism, an inability to
procure goods or services or a general shortage of labor, equipment, facilities, energy, materials or
supplies in the open market, failure of transportation, strikes, walkouts, actions of labor unions,
governmentally imposed moratoriums or court orders. Performance under this Lease shall be
excused by an Event of Force Majeure for the length of the delay caused by the Event of Force
Majeure",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Governing Law,This Lease shall be construed in accordance with the laws of the State of California (without regard to its conflicts.of law principles).,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Initial Term,The term (“Term”) of this Lease shall commence on the Effective Date and end on the Year 25 Termination Date or on such earlier date as this Lease may be terminated in accordance with the provisions of this Lease.," ""1. Term. The term (“Term”) of this Lease shall commence on the Effective Date and end on the Year 25 Termination Date or on such earlier date as this Lease may be terminated in accordance with the provisions of this Lease.""",12.0,0.05333333333333334,0.969490512724798
Site Lease - Blue Sky- Felicita Town Center.pdf,Lessee (Tenant) Entity Name,"by and between Blue Sky Utility Holding, LLC, a California limited liability company with an address at P.O.Box 5571, Napa, CA 94581 (""Tenant"") and Brixmor Felicita Town Center LLC, a Delaware limited liability company, with an address c/o Brixmor Property Group, 450 Lexington Avenue, 13th Floor, New York, New York 10017 (""Landlord"").",,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Lessor (Landlord) Entity Name,"by and between Blue Sky Utility Holding, LLC, a California limited liability company with an address at P.O.Box 5571, Napa, CA 94581 (""Tenant"") and Brixmor Felicita Town Center LLC, a Delaware limited liability company, with an address c/o Brixmor Property Group, 450 Lexington Avenue, 13th Floor, New York, New York 10017 (""Landlord"").", Lessor (Landlord) Entity Name: Brixmor Felicita Town Center LLC,285.0,0.8482142857142857,0.7970450655515801
Site Lease - Blue Sky- Felicita Town Center.pdf,Liens,," 12. Liens. Tenant shall not place and shall not permit any Tenant Parties to
place any security interests, mortgages, mechanics liens, materialmens' liens, notices of liens,
judgments and/or stop notices on the Property. A breach of this Subparagraph VB.12 by Tenant
shall be deemed a Tenant Event of Default under Subparagraph VI.A.1 of this Lease",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Non-Disturbance Requirements,," ""SNDA"" means a subordination, non-disturbance and attornment agreement from a
Lender. Such SNDA shall:
a. acknowledge and consent to the Tenant's rights in the Premises and License Areas,
b. acknowledge that such Lender has no interest in the Solar System and
Environmental Attributes and shall not gain any interest in the Solar System and Environmental
Attributes by virtue of the Landlord's or the Tenant's performance or breach of this Lease, and
c. agree to be bound by the terms of this Lease, including, without limitation, the provisions
of this Lease relating to the Solar System and Environmental Attributes, and to execute and
deliver such further instruments and take such further actions as may be reasonably necessary
to effectuate the foregoing.",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Payment Terms,"b. Commencing on the Commercial Operation Date, Tenant shall pay the Landlord the Base Rent in equal monthly  installments, equal to the amount, set forth in Section IL.A.1a of this Lease, of the Base Rent for the particular year of the Term, as such Base Rent may be reduced from time to time as set forth in Section I.E, divided by twelve (“Base Rent Installments”), commencing on the Commercial Operation Date and payable on the'first’ calendar day of each calendar month thereafter (“Base Rent Due Date”) throughout the Term. The Base Rent Installments shall be payable in arrears throughout the Term."," **RENT**
**A. BASE RENT.**
Tenant shall pay to Landlord as annual base rent during the Term the sum of One Hundred
Thousand and 00/100 Dollars ($100,000.00) (the ""Base Rent""), payable in equal monthly
installments of Eight Thousand Three Hundred Thirty-Three and 33/100 Dollars ($8,333.33) in
advance on the first day of each month during the Term, commencing on the Commencement
Date.",434.0,0.7173553719008264,0.8840044387457632
Site Lease - Blue Sky- Felicita Town Center.pdf,"Per Per ($/kWH, $/kW, $/MW, $/MWh, etc.)",, I am unable to locate the requested information in the provided document.,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Prevailing Party Provision (Y/N),, There is no information about prevailing party provision in the provided document.,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Property Size,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Property Tax ($),," ""Tax Rent"" is defined in Subparagraph II.B.1 of this Lease.",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Purchase Options,, There are no sections in the provided document that mention the ability for the Lessee to have an option to buy the land from the Lessor.,,,
