Key Items,Instructions,use_pvsyst_prompt,additional_prompt,additional_definition
Construction Lender,"## Find the Construction Lender in a document
**Keywords and Patterns:**

* **Loan Agreement:** Look for mentions of a ""Loan Agreement,"" ""Construction Loan Agreement,"" or similar phrases, as these sections often identify the lender.
* **Financial Institution Names:** Look for names of banks, financial institutions, or lending companies, often followed by identifiers such as:
    * Bank
    * National Association
    * Credit Union
    * Financial
    * Lending
    * Capital
* **Lender-Specific Terms:** Pay attention to terms commonly associated with lenders, such as:
    * ""Lender""
    * ""Creditor""
    * ""Mortgagee"" (in the context of construction financing)
    * ""Beneficiary"" (especially if a deed of trust is involved)
* **Loan-Related Verbs:** Look for verbs that indicate a lending relationship, such as:
    * ""Loaned""
    * ""Financed""
    * ""Provided financing""
    * ""Funded""
* **Parentheses and Quotes:** Pay attention to information enclosed in parentheses or quotation marks, as it may further identify the lender or provide additional details.

RETURN THE NAME OF THE BANK OR COMPANY THA LEND THE MONEY",1,,
Customer,"## Finding the Customer in a Loan Agreement

Given a loan agreement document, identify and extract sections of text that say who is the the ""Customer"" or the entity receiving the loan and responsible for repayment.

**Keywords and Patterns:**

* **Direct Identification:**
    * Look for phrases like:
        * ""the Customer""
        * ""the Borrower""
        * ""the Debtor"" 
        * ""the Loan Recipient""
* **Contextual Clues:**
    *  Phrases indicating obligation to repay:
        *  ""agrees to repay""
        *  ""shall pay""
        *  ""indebted to""
    * Phrases related to receiving loan funds:
        * ""loan is made to""
        * ""funds disbursed to""
* **Entity Identification:**
    * Identify company names, often followed by identifiers such as:
        * LLC (Limited Liability Company)
        * Inc. (Incorporated)
        * Corporation
        * Trust
    * Individual names, possibly followed by titles.

Return the NAME OF THE COMPANY or a PERSON who borrows the money",1,,
Effective Date,"**Prompt:**

Given a legal document, identify and extract the section that defines the Effective Date of the agreement. Use the following guidelines:

**Keywords and Patterns:**

- Look for phrases like:
    - ""This [Agreement/Contract/Lease] dated as of""
    - ""Effective as of""
    - ""Effective Date""
- Pay attention to date formats, which may include:
    - Month Day, Year (e.g., January 1, 2022)
    - Day of Month (e.g., 1st, 2nd, 3rd)
    - Abbreviations for months (e.g., Jan., Feb., Mar.)
- Look for patterns like:
    - ""This [Agreement/Contract/Lease], dated as of [Month Day, Year]""
    - ""This [Agreement/Contract/Lease], dated as of the [Day of Month] day of [Month], [Year]""
    - ""Effective as of [Month Day, Year]""
    - ""The Effective Date of this [Agreement/Contract/Lease] is [Month Day, Year]""

**Examples:**

1. ""This Loan Agreement, dated as of September 7, 2021, is by and between...""
   - The Effective Date is explicitly stated as ""September 7, 2021"".

2. ""This Loan Agreement, dated as of the 20th day of January, 2022, is by and between...""
   - The Effective Date is stated as ""the 20th day of January, 2022"".

3. ""This Construction Loan Agreement, dated as of the 3rd of November, 2020...""
   - The Effective Date is stated as ""the 3rd of November, 2020"".

4. ""The Effective Date of this Lease Agreement is April 15, 2023.""
   - The Effective Date is explicitly defined as ""April 15, 2023"".",1,,
Loan Amount,"## Finding the Loan Amount in a Loan Agreement

Given a loan agreement document, identify and extract the section of text that defines the Loan Amount.
Retrieve Principal Amount.

* Look for sections with headings like:
    * ""Loan Amount""
    * ""The Loan""
    * ""Commitment""
    * ""Advances""
    * ""Disbursements""
* Look for phrases like:
    * ""Lender agrees to lend""
    * ""Borrower agrees to borrow""
    * ""principal amount""
    * ""aggregate principal amount""
    * ""not to exceed""
* Identify numerical values potentially representing the loan amount, often accompanied by currency symbols (e.g., $, €) or words like ""dollars,"" ""euros,"" etc.
* Pay attention to clauses outlining any limitations or conditions related to the maximum loan amount.

**Example:**

>""2.01 Loan. Subject to the terms and conditions of this Agreement, Lender agrees to make disbursements under the Loan to Borrower from the Closing Date to and including the date that is five (5) Business Days prior to the Maturity Date, **in an aggregate principal amount not to exceed the lesser of (i) the Commitment or (ii) so much as is to be advanced pursuant to Articles IV and V.**""

* ""aggregate principal amount"" is a strong indicator of the loan amount being defined.
* ""not to exceed"" suggests a potential cap or limitation on the loan amount.
* ""(i) the Commitment"" and ""(ii) so much as is to be advanced pursuant to Articles IV and V"" likely refer to other sections in the agreement that further define the loan amount or conditions related to it.",0,"## Given a legal document, identify and extract sections of text that define or describe a ""Promissory Note"". Use the following guidelines:

* Look for phrases like:
    * ""promissory note""
    * ""note""
    * ""promise to pay""
    * ""maker"" and ""payee""
    * ""principal amount"" or ""principal sum""
    * ""interest rate"" or ""interest""
    * ""due date"" or ""maturity date""
* Identify the parties involved, often referred to as:
    * ""Maker"" or ""Issuer"" (the party making the promise to pay)
    * ""Payee"" or ""Holder"" (the party to whom the payment is owed)
* Look for monetary amounts, often preceded by ""$"" or ""US$""
* Pay attention to parentheses or quotation marks surrounding defined terms
* Look for patterns like:
    * **[Maker/Issuer] promises to pay to [Payee/Holder] the principal sum of $[Amount] (the ""Principal Amount""), together with interest thereon at the rate of [Interest Rate] per annum.**
    * **This Promissory Note (this ""Note"") is issued by [Maker/Issuer] in favor of [Payee/Holder] on [Date].**
    * **The Principal Amount, together with all accrued and unpaid interest thereon, shall be due and payable on [Due Date/Maturity Date].**

**Example:**

In the phrase:
>""**FOR VALUE RECEIVED, ABC CORPORATION, a Delaware corporation (the ""Maker""), hereby promises to pay to XYZ INVESTMENTS LLC, a New York limited liability company (the ""Payee""), the principal sum of One Million Dollars ($1,000,000) (the ""Principal Amount""), together with interest thereon at the rate of 5% per annum.**""

* ""FOR VALUE RECEIVED"" and ""hereby promises to pay"" indicate the start of a promissory note
* ""ABC CORPORATION"" is the Maker or Issuer
* ""XYZ INVESTMENTS LLC"" is the Payee or Holder
* ""$1,000,000"" is the Principal Amount
* ""5% per annum"" is the interest rate

Term to look for: Promissory Note
Definition of term: A promissory note is a financial instrument that contains a written promise by one party (the note's issuer or maker) to pay another party (the note's payee) a definite sum of money, either on demand or at a specified future date.","A promissory note is a financial instrument that contains a written promise by one party (the note's issuer or maker) to pay another party (the note's payee) a definite sum of money, either on demand or at a specified future date."
Term,"",0,,
Draw Schedule,"## Extracting Draw Schedule from a Loan Agreement

Extract information regarding the **Draw Schedule** from a loan agreement. The Draw Schedule outlines the specific milestones or conditions that must be met before the borrower can access portions of the loan funds.

* **Section Headings:** Look for sections with titles like:
    * ""Draw Schedule""
    * ""Disbursement Schedule""
    * ""Funding Schedule""
    * ""Loan Advances""
    * ""Conditions Precedent to Disbursement""
* **Keywords:** Pay close attention to the following keywords and phrases:
    * Loan Documents
    * Initial Disbursement
    * Security Documents
    * Commitment Fee
    * Landlord Agreement
    * Collateral
    * Lien
    * Closing Date
    * Project Engineer
    * Lien Waiver
    * Tax Equity Investor
    * Representations and Warranties
    * Event of Default
    * Request for Advance
    * Construction Budget
    * Site Lease
    * Operating Account
    * Equity Contribution
    * Permanent Lender Loan Commitment
    * EPC Contract

**Example:**
>""""4.01 - Conditions for Closing and First and Second Disbursement. The Lender shall not be obligated to make the first and second disbursements of the Loan (the “Initial Disbursement”) until the Borrower shall have furnished to the Lender (unless otherwise waived by the Lender in writing) at such Borrower’s own cost and expense the following:
(a) - (g)
4.02 - Conditions for 3rd Disbursement - (a)-(t)
4.03 - Subsequent Disbursements - (a)-(d)
4.04 - Final Disbursement - (a)-(b)""""

RETRIEVE SIMILAR TEXT BY CONTEXT FROM AGREEMENT",0,,
Commitment Fee / Origination Fee,"## Finding Commitment Fee Information in a Loan Document

**Prompt:**

Given a loan document, identify and extract sections of text that define and provide details about the Commitment Fee.

**Keywords and Patterns:**

* Look for headings or sections titled:
    * ""Commitment Fee""
    * ""Loan Fees""
    * ""Closing Costs""
* Look for phrases like:
    * ""Borrower will pay""
    * ""Lender a non-refundable""
    * ""fully-earned loan fee""
    * ""Commitment amount""
    * ""good faith deposit""
* Identify numerical values expressed as percentages or dollar amounts, which may indicate:
    * The percentage of the loan amount that constitutes the Commitment Fee.
    * The fixed dollar amount of the Commitment Fee.
* Pay attention to parentheses often containing additional information or definitions.

**Example:**

In the phrase:

>""2.06 **Commitment Fee**. With respect to the Loan, Borrower will pay to the Lender at Closing a non-refundable, fully-earned loan fee with respect to the Loan in the amount of Eighty Two Thousand Two Hundred Fifty and NO/100 dollars ($82,250.00)...""

* ""Commitment Fee"" is the heading, clearly indicating the relevant section.
* ""Borrower will pay"" and ""Lender"" identify the parties involved in the transaction.
* ""non-refundable"" and ""fully-earned loan fee"" describe the nature of the fee.
* ""$82,250.00"" specifies the amount of the Commitment Fee.",0,,
Closing Costs,"## Finding Closing Costs in a document

**Prompt:**

Given a loan or real estate agreement, identify and extract sections of text that define or refer to ""Closing Costs"". Use the following guidelines:

**Keywords and Patterns:**

* **Direct Mentions:**
    * ""Closing Costs""
    * ""Closing Fees""
    * ""Settlement Costs""
* **Related Phrases:**
    * ""Costs and expenses of closing""
    * ""Fees and disbursements in connection with closing""
    * ""Payment of the Commitment Fee""
    * ""Reimbursable costs and expenses""
* **Specific Examples:** (Often listed as examples within a broader definition of Closing Costs)
    * ""Legal fees""
    * ""Appraisal fees""
    * ""Title insurance""
    * ""Survey fees""
    * ""Recording fees""
    * ""Loan origination fees""
    * ""Escrow fees""
    * ""Prepaid interest""
    * ""Property taxes""
* **Contextual Clues:**
    * Look for sections discussing the ""Closing Date"" or ""Settlement Date.""
    * Pay attention to clauses outlining payment responsibilities of the borrower or seller.
    * Look for numerical lists or itemized breakdowns that might include Closing Costs.

**Examples:**

* **Direct Mention:** ""The Borrower shall be responsible for all Closing Costs associated with the loan.""
* **Related Phrase:** ""The Seller agrees to pay all reasonable and customary costs and expenses of closing.""
* **Specific Example:** ""Closing Costs shall include, but not be limited to, legal fees, appraisal fees, and loan origination fees.""
* **Contextual Clue:** ""On the Closing Date, the Borrower shall deliver to the Escrow Agent a cashier's check in the amount of the Closing Costs.""",0,,
Interest Rate,"## Finding Interest Rate in a document

**Prompt:**

Given a loan or financing document, identify and extract sections of text that define the Interest Rate. Use the following guidelines:

**Keywords and Patterns:**

* Look for phrases like:
    * ""Interest Rate""
    * ""Interest shall accrue""
    * ""rate per annum""
    * ""interest at a rate""
    * ""bear interest at""
* Identify numerical percentages, often formatted with a ""%"" symbol.
* Look for references to indices like ""Prime Rate"" or ""LIBOR"" often followed by a ""+"" and additional percentage points.
* Pay attention to terms like ""fixed rate"" or ""floating rate"" to determine the nature of the interest.
* Look for clauses describing interest rate adjustments, caps, or floors.
* Look for patterns like:
    * ""The Loan shall bear interest at a rate per annum equal to [Interest Rate].""
    * ""The Interest Rate shall be [Interest Rate].""
    * ""Interest shall accrue at a rate of [Interest Rate].""

**Example:**

In the phrase:

>""2.04(a) - From and after the Closing Date until the Maturity Date, the Loans shall bear interest at a rate per annum equal to the Prime Rate, determined as of the Closing Date and as adjusted on the first (1st) day of each calendar month, plus 1.00%. Notwithstanding the foregoing, the Interest Rate on the Loan shall be subject to a floor equal to 5.00%.""

* ""Interest Rate"" is explicitly mentioned.
* ""bear interest at a rate per annum"" signals the definition of the interest rate.
* ""Prime Rate, determined as of the Closing Date and as adjusted on the first (1st) day of each calendar month, plus 1.00%"" describes how the interest rate is calculated.
* ""floor equal to 5.00%"" indicates a minimum interest rate.

**Term to look for:** Interest Rate
**Definition of term:** The percentage charged on the loan amount by the Construction Lender as the cost of borrowing.",0,,
Maturity Date,"## Finding Maturity Date in a document

Given a loan or financing document, identify and extract sections of text that define the Maturity Date.

* Look for phrases like:
    * ""Maturity Date""
    * ""maturity date"" (case insensitive)
    * ""final payment date""
    * ""loan term""
    * ""date of final payment""
* Identify specific dates, often in formats like:
    * Month DD, YYYY (e.g., September 7, 2022)
    * YYYY-MM-DD (e.g., 2023-07-20)
* Look for language indicating extension options:
    * ""may be extended""
    * ""subject to extension""
    * ""unless extended""
* Pay attention to sections discussing:
    * Loan terms
    * Repayment schedule
    * Default or acceleration clauses

Examples:
> “Maturity Date” means earlier of (a) November 3, 2021 (twelve (12) months from the Closing Date), as such date may be extended pursuant to Section 2.10, or (b) date that Permanent Lender Loan Commitment is no longer in full force and effect.
> Maturity Date means September 7, 2022. The Borrower may elect to extend the Maturity Date of the Loan by up to three (3) months upon certain conditions laid down in section 2.08.
> “Maturity Date” means July 20, 2023",0,,
