Key Items,Instructions,use_pvsyst_prompt,unit,old_names
Author,"## Finding the Author in a Document Header

**Prompt:**

Given a document header, identify and extract the author's name or the name of the entity responsible for creating the document.

**Keywords and Patterns:**

* **Look for phrases like:**
    * ""Prepared by""
    * ""Authored by""
    * ""Created by""
    * ""Copyright"" or ""©"" followed by a name or year
    * ""Document Owner""
* **Identify company names, often followed by identifiers such as:**
    * LLC (Limited Liability Company)
    * Inc. (Incorporated)
    * Corporation
    * Trust
* **Look for patterns like:**
    * **Prepared for:** [Company/Individual Name]
    * **Author:** [Company/Individual Name]
    * **Copyright © [Year] [Company/Individual Name]**

**Example:**

In the phrase:

>""**Prepared for: StraightUp Solar**""

* ""Prepared for"" indicates the purpose of the document and the following text likely reveals the author.
* ""StraightUp Solar"" is likely the name of the author or the entity who commissioned the document.

**In the phrase:**

>""**Copyright © 2023 Westwood Professional Services**""

* ""Copyright ©"" followed by the year and name strongly suggests the author.
* ""Westwood Professional Services"" is likely the author or rights holder of the document.",0,,Author
System Type,"## Finding System Type in a document

**Prompt:**

Given a solar site lease document, identify and extract the **System Type** from the ""Simulation parameters"" section.

**Keywords and Patterns:**

* Look for a section explicitly titled ""Simulation parameters"" or similar wording like ""Project Information"", ""Technical Specifications"", ""System Design"".
* Within this section, search for headings or labels like:
    * ""System Type""
    * ""Mounting Type""
    * ""Tracker Type""
    * ""Installation Type""
* Identify phrases or terms commonly used to describe solar panel systems:
    * ""Fixed Tilt""
    * ""Single Axis Tracker""
    * ""Dual Axis Tracker""
    * ""Ground Mount""
    * ""Roof Mount""
    * ""Building Integrated""
* Pay attention to descriptions involving:
    *  The orientation of the solar panels (e.g., fixed, tracking the sun).
    *  The location of the solar panels (e.g., on the ground, rooftop, integrated into the building).

**Examples:**

* **""System Type: Single Axis Tracker""** - This clearly indicates a system that tracks the sun on one axis.
* **""Mounting Type: Fixed Tilt, South Facing""** - This describes a system with panels fixed at an angle, facing south.
* **""The Project will utilize a ground-mounted, single-axis tracking system.""** - This sentence within the ""Simulation parameters"" section describes the system type.

**Term to look for:** System Type
**Definition of term:**  The type of solar panel system being installed, specifically how it is mounted and whether it tracks the sun.",0,,System Type
Module Model,"## Finding Module Model in a Solar Agreement

**Prompt:**

Given a solar site lease or interconnection agreement, identify and extract the Module Model used in the project. Focus on sections related to technical specifications, equipment lists, or project descriptions.

**Keywords and Patterns:**

* Look for sections titled:
    * ""PV Array Characteristics""
    * ""Main System Parameters""
    * ""Equipment List""
    * ""Technical Specifications""
    * ""Project Description""
* Look for keywords:
    * ""Module"" or ""Panel""
    * ""Model"" or ""Type""
    * ""Manufacturer"" or ""Brand""
* Identify alphanumeric strings that resemble module model names, often including:
    * Brand names (e.g., ""Canadian Solar"", ""Trina"", ""Jinko"")
    * Numbers indicating wattage or efficiency (e.g., ""370"", ""345"", ""400"")
    * Letters indicating specific features or variations (e.g., ""WSM"", ""BMH"", ""TP2S"")

**Example:**

In the phrase:

>""The System will utilize [Number] of [Manufacturer] [Module Model] photovoltaic modules with a total rated capacity of [Wattage] kW DC.""

* ""[Manufacturer]"" and ""[Module Model]"" are likely to contain the information you need.
* Pay attention to the surrounding context to confirm it refers to the module model.

**Term to look for:** Module Model
**Definition of term:** The specific model name or identifier of the solar panel used in the project.",0,,Module Model
Module Manufacturer,"## Finding the Module Manufacturer in a document

**Prompt:**

Given a solar document, identify and extract the Module Manufacturer primarily from the ""PV Array Characteristics"" or ""Main System Parameters"" sections.

**Keywords and Patterns:**

* **Section headings:** Look for sections titled:
    * ""PV Array Characteristics""
    * ""Main System Parameters""
    * ""Module Specifications""
    * ""Equipment List""
* **Keywords:** Search for keywords within these sections like:
    * ""Module Manufacturer""
    * ""Module Make""
    * ""Module Model""
    * ""Panel Manufacturer""
    * ""Panel Make""
    * ""Panel Model""
* **Brand Names:**  Be on the lookout for common solar module brand names, such as:
    * ""Canadian Solar""
    * ""Jinko Solar""
    * ""Trina Solar""
    * ""First Solar""
    * ""SunPower""
    * ""LG Solar""
    * ""Panasonic""
    * ""REC Solar""
    * ""Silfab""
    * ""Q Cells""
* **Formatting:** Pay attention to:
    * **Tables:** Module Manufacturer information is often presented in a tabular format.
    * **Bold or Italics:** The manufacturer name might be highlighted using bold or italics.

**Example:**

In a section titled ""PV Array Characteristics"", you might find:

| Characteristic | Value |
|---|---|
| **Module Manufacturer** | **REC Solar** |
| Module Model | REC400AA |

Here, ""REC Solar"" is clearly identified as the Module Manufacturer.

**Important Note:** If the Module Manufacturer is not explicitly stated, you may need to rely on the Module Model and research the manufacturer independently.",0,,Module Manufacturer
Module Wattage,"## Finding Module Wattage in a document

**Prompt:**

Given a solar site lease document, identify and extract the Module Wattage value.

**Keywords and Patterns:**

* Look for sections titled:
    * ""PV Array Characteristics""
    * ""Main System Parameters""
* Look for tables with columns like:
    * ""Module""
    * ""Type""
    * ""Wattage""
    * ""Power""
* Look for values following keywords:
    * ""Module Wattage:""
    * ""Panel Wattage:""
* Pay attention to units:
    * Watts (W)
    * Kilowatts (kW) -  Remember to convert to Watts by multiplying by 1000.

**Example:**

In the phrase:
>""**Module Wattage: 370 W**""

* ""Module Wattage:"" is the keyword.
* ""370 W"" is the value and unit.

In the table:

| Module  | Type | Wattage |
| ------------- | ------------- | ------------- |
| Trina Solar  | TSM-400  | 400 W |

* ""Wattage"" is the relevant column header.
* ""400 W"" is the value and unit.",0,Wp,Module Wattage
Module Quantity,"## Finding Module Quantity in a Solar Site Lease Agreement

**Prompt:**

Given a solar site lease document, identify and extract the Module Quantity value. Use the following guidelines:

**Keywords and Patterns:**

* Look for sections titled:
    * ""PV Array Characteristics""
    * ""Main System Parameters""
    * ""Technical Specifications""
    * ""Exhibit [Letter]"" (e.g., ""Exhibit A"") containing technical specifications
* Look for tables or lists within these sections.
* Search for keywords near the target value:
    * ""Module Quantity""
    * ""Number of Modules""
    * ""Total Modules""
    * ""Module Count""
    * ""DC Capacity"" (often accompanied by ""kWp"" or ""kW DC"")
* The value will likely be a whole number, potentially large (e.g., hundreds or thousands).
* Pay attention to units:
    * The value might be directly followed by ""modules"" or no unit at all.

**Example:**

In the table excerpt:

| Parameter | Value |
|---|---|
| Module Type | Example SolarPanel 550W |
| Module Quantity | **3744** |
| DC Capacity | 2059.2 kWp |

* The table is found within a section titled ""PV Array Characteristics.""
* The row header ""Module Quantity"" clearly indicates the target value.
* The extracted value is ""**3744**"".

**Additional Notes:**

* The document might use abbreviations like ""Qty"" for ""Quantity.""
* If the exact term ""Module Quantity"" isn't present, analyze the context of other values and table headers to identify the correct information.",0,,Module Quantity
Inverter Model,"## Finding Inverter Model in a Solar Agreement

**Prompt:**

Given a solar lease or power purchase agreement, identify and extract the Inverter Model used in the solar energy system.

**Keywords and Patterns:**

* **Section headings:** Look for sections titled:
    * ""PV Array Characteristics""
    * ""Main System Parameters""
    * ""Equipment Specifications""
    * ""Technical Specifications""
    * ""Exhibit [Letter/Number]"" (Check exhibits for relevant information)
* **Keywords:** Search for terms like:
    * ""Inverter""
    * ""Model""
    * ""Manufacturer""
    * ""Make""
    * ""Type""
* **Patterns:**
    * **[Manufacturer Name] [Model Name]** (e.g., ""SMA Sunny Boy"")
    * **[Model Name] ([Manufacturer Name])** (e.g., ""Sunny Boy (SMA)"")
    * **[Acronym]-[Model Code]** (e.g., ""CPS SCA50KTL-DO/US-480 V2.0"")

**Example:**

In the phrase:

>""The System shall utilize [Quantity]  [Manufacturer Name] [Model Name] inverters...""

* ""System"" and ""inverters"" suggest this sentence contains relevant information.
* ""[Manufacturer Name]"" and ""[Model Name]"" directly provide the needed details.

**Note:** Inverter models can be presented in various formats. Pay close attention to the context and surrounding information to accurately identify the model.",0,,Inverter Model
Inverter Manufacturer,"## Finding Inverter Manufacturer in a document

**Prompt:**

Given a solar project document, identify and extract the Inverter Manufacturer. Focus your search on sections related to ""PV Array Characteristics"" and ""Main System Parameters"".

**Keywords and Patterns:**

* **Section Titles:** Look for sections explicitly titled:
    * ""PV Array Characteristics""
    * ""Main System Parameters""
    * ""Equipment List""
    * ""Major Equipment Summary""
* **Keywords:** Scan for keywords within these sections:
    * ""Inverter""
    * ""Manufacturer""
    * ""Make""
    * ""Model""
* **Patterns:** Identify potential manufacturer names by looking for:
    * Company names, often followed by identifiers such as:
        * LLC (Limited Liability Company)
        * Inc. (Incorporated)
        * Corporation
        * Ltd. (Limited)
        * GmbH (Gesellschaft mit beschränkter Haftung)
        * SA (Société Anonyme)
    * Brand names commonly associated with inverters.
* **Tables:** Pay close attention to tables within these sections, as they often list equipment specifications with dedicated columns for ""Manufacturer"" or ""Make"".

**Example:**

In a table within the ""PV Array Characteristics"" section:

| Component | Manufacturer | Model | Quantity |
|---|---|---|---|
| PV Module | Canadian Solar Inc. | CS3W-400MS | 10,000 |
| Inverter | **SMA** | Sunny Central 2500A | 4 |

The ""Manufacturer"" column clearly identifies **SMA** as the Inverter Manufacturer.",0,,Inverter Manufacturer
Inverter Wattage,"## Finding Inverter Wattage Unit Nom. Power in a document

**Prompt:**

Given a solar site lease document, identify and extract the inverter wattage Unit Nom. Power value.

**Keywords and Patterns:**

* Look for sections titled:
    * ""PV Array Characteristics""
    * ""Main System Parameters""
    * ""Equipment Specifications""
    * ""Unit Nom. Power""
* Look for tables with columns like:
    * ""Component"" and ""Rating""
    * ""Description"" and ""Value""
    * ""Unit Nom. Power""
* Search for keywords near numerical values:
    * ""Inverter""
    * ""kW"" (kilowatts)
    * ""DC"" (direct current)
    * ""AC"" (alternating current)
    * ""Unit Nom. Power""
* Pay attention to units: Inverter wattage Unit Nom. Power is typically measured in kW.

**Example:**

In the table row:

| Component | Rating |
|---|---|
| Inverter | 66 kW |

* ""Inverter"" identifies the relevant component.
* ""66 kW"" provides the inverter wattage value, with ""kW"" indicating kilowatts.

**Additional Notes:**

* There may be multiple inverters listed. Extract all instances of inverter wattage.
* The format of the information may vary, so be flexible in your search.",0,kWac,Inverter Wattage
Inverter Quantity,"## Finding Inverter Quantity in a document

**Prompt:**

Given a solar site lease document, identify and extract the Inverter Quantity. Use the following guidelines:

**Keywords and Patterns:**

* Look for sections titled:
    * ""PV Array Characteristics""
    * ""Main system parameters""
* Look for tables with columns like:
    * ""Component"" / ""Equipment""
    * ""Description""
    * ""Quantity""
* Within these tables, search for rows containing:
    * ""Inverter""
* The corresponding ""Quantity"" value is the target information.

**Example:**

In a table structured like this:

| Component | Description | Quantity |
|---|---|---|
| PV Module | Example Module Model X | 1000 |
| Inverter | Example Inverter Model Y | **20** |

* The ""Inverter Quantity"" would be **20**.

**Additional Notes:**

* The Inverter Quantity may be expressed as a whole number.
* There might be multiple inverter types listed; extract the quantity for each.
* If the document contains multiple sections matching the above criteria, extract the information from each relevant section.",0,,Inverter Quantity
