Key Items,Instructions
Lessor (Landlord) Entity Name,"## Finding Parties in a Site Lease Document

**Prompt:**

Given a site lease document, identify and extract sections of text that define the involved parties, specifically the Landlord and Tenant (or Lessor and Lessee). Use the following guidelines:

**Keywords and Patterns:**

* Look for phrases like:
    * ""by and between""
    * ""this Lease"" or ""this Agreement""
    * ""Landlord"" and ""Tenant"" (or ""Lessor"" and ""Lessee"")
    * ""Party"" and ""Parties""
* Identify company names, often followed by identifiers such as:
    * LLC (Limited Liability Company)
    * Inc. (Incorporated)
    * Corporation
    * Trust
    * Individual names, possibly followed by titles like Trustee
* Look for addresses associated with the company or individual names.
* Pay attention to quotation marks surrounding names or titles, and parentheses often containing additional information like state of incorporation.
* Look for patterns like:
    * **[Company Name], a [State] [Company Type], with an address at [Address] (""[Landlord/Tenant/Lessor/Lessee]"")**
    * **between [Company/Individual Name] (the ""[Landlord/Lessor]"") and [Company/Individual Name] (the ""[Tenant/Lessee]"")**

**Example:**

In the phrase:
>""**By and between HEELSTONE LAND HOLDINGS, LLC, a Delaware limited liability company (the “Landlord”) and 233 RANDOLPH 74 SOLAR I, LLC, a North Carolina limited liability company (the “Tenant”).**""

* ""By and between"" indicates the start of the relevant section.
* ""HEELSTONE LAND HOLDINGS, LLC"" and ""233 RANDOLPH 74 SOLAR I, LLC"" are the company names.
* ""Delaware limited liability company"" and ""North Carolina limited liability company"" identify the company types.
* ""(the “Landlord”)"" and ""(the “Tenant”)"" explicitly label the roles of each party.

Term to look for: Lessor (Landlord) Entity Name
Definition of term: The individual or entity who holds title to the property and is leasing to REA controlled entity
Examples of answers:
```
By and between PWH Properties, LLC (""Owner""), and Canton G LC Solar, LLC a Maine limited liability company (""Tenant"").
```
```
Harju Brothers Cranberries, Inc., a Massachusetts corporation, having a mailing address of 801 Plymouth St., Middleboro, MA 02346 (“Owner”),
```"
Lessee (Tenant) Entity Name,"## Finding Parties in a Site Lease Document

**Prompt:**

Given a site lease document, identify and extract sections of text that define the involved parties, specifically the Landlord and Tenant (or Lessor and Lessee). Use the following guidelines:

**Keywords and Patterns:**

* Look for phrases like:
    * ""by and between""
    * ""this Lease"" or ""this Agreement""
    * ""Landlord"" and ""Tenant"" (or ""Lessor"" and ""Lessee"")
    * ""Party"" and ""Parties""
* Identify company names, often followed by identifiers such as:
    * LLC (Limited Liability Company)
    * Inc. (Incorporated)
    * Corporation
    * Trust
    * Individual names, possibly followed by titles like Trustee
* Look for addresses associated with the company or individual names.
* Pay attention to quotation marks surrounding names or titles, and parentheses often containing additional information like state of incorporation.
* Look for patterns like:
    * **[Company Name], a [State] [Company Type], with an address at [Address] (""[Landlord/Tenant/Lessor/Lessee]"")**
    * **between [Company/Individual Name] (the ""[Landlord/Lessor]"") and [Company/Individual Name] (the ""[Tenant/Lessee]"")**

**Example:**

In the phrase:
>""**By and between HEELSTONE LAND HOLDINGS, LLC, a Delaware limited liability company (the “Landlord”) and 233 RANDOLPH 74 SOLAR I, LLC, a North Carolina limited liability company (the “Tenant”).**""

* ""By and between"" indicates the start of the relevant section.
* ""HEELSTONE LAND HOLDINGS, LLC"" and ""233 RANDOLPH 74 SOLAR I, LLC"" are the company names.
* ""Delaware limited liability company"" and ""North Carolina limited liability company"" identify the company types.
* ""(the “Landlord”)"" and ""(the “Tenant”)"" explicitly label the roles of each party.

Term to look for: Lessee (Tenant) Entity Name
Definition of term: The individual that is renting the property and pays fee to the Landlord
Examples of answers:
```
By and between PWH Properties, LLC (""Owner""), and Canton G LC Solar, LLC a Maine limited liability company (""Tenant"").
```
```
SunRaise Development, LLC, a New Hampshire limited liability company having place of business at 200 Marcy Street, Suite 102, Portsmouth, NH 03801 (“Tenant”).
```"
Effective Date,"## Finding Effective Dates and Lease Agreement Titles in Lease Documents

**Objective** Find an Effective Date in the Lease agreement and return an exact date in the format provided. If the date is not explicitly mentioned return a piece of information that mention the Effective Date.

Based on the samples you provided, here's a breakdown of the common structure, keywords, and features to look for when searching for effective dates and lease agreement titles:

**Common Structure:**

* **Date format:** The effective date is typically written in month-day-year format (e.g., July 25, 2019).
* **Parenthetical clarification:**  The date is usually followed by the phrase ""(the “Effective Date”)"" within parentheses.
* **Lease agreement title:** Look for phrases like ""GROUND LEASE AGREEMENT,"" ""SITE LEASE AGREEMENT,"" ""SOLAR LEASE,"" or similar variations. These titles are often capitalized and enclosed in quotation marks.
* **Agreement alias:** The title is often followed by an alias enclosed in parentheses and quotation marks, such as ""(this “Lease”)"" or ""(this “Agreement”)"".
* **""Made and entered into"" phrase:** This phrase typically precedes the date and signifies the beginning of the agreement.

**Keywords:**

* ""Effective Date""
* ""Lease""
* ""Agreement""
* Variations of ""Lease Agreement"" like ""Ground Lease Agreement"", ""Site Lease Agreement"", etc.
* Dates written in month-day-year format

**Features of Text:**

* Capitalization of the lease agreement title.
* Use of quotation marks for both the title and the alias.
* Consistent structure with date, title, and ""made and entered into"" phrase.

## Prompt for Gemini LLM:

**Given a lease document, extract the following information:**

1. **Effective Date:** Locate the date identified as ""Effective Date"" and present it in month-day-year format.
2. **Lease Agreement Title:** Identify the full title of the lease agreement, including any specific terms like ""Ground,"" ""Site,"" or ""Solar.""

**Instructions:**

* Search for text segments that match the patterns described above.
* Prioritize sections containing the keywords ""Effective Date"" and variations of ""Lease Agreement.""
* Look for dates written in month-day-year format and enclosed in parentheses following the phrase ""(the “Effective Date”)"".
* Extract the full title of the agreement, including any descriptive terms, that appears before the alias (e.g., ""(this “Lease”)"").
* If multiple potential matches are found, use contextual clues and the document's structure to identify the most likely correct option.

"
Property Size,"## Finding Property Size in Lease agreement:

**Objective:** Identify and extract sections within a lease document that describe the physical attributes, size and location of the leased property.

**Instructions:**

1. **Keywords:** Prioritize sections containing keywords like:
    * **Exhibit**: Pay close attention to sections labeled as exhibits, especially ""Exhibit A"" or ""Exhibit B,"" as these often contain detailed property descriptions.
    * **Parcel**: Look for mentions of ""parcel,"" ""parcel number,"" or ""tax lot number,"" which are unique identifiers of the property.
    * **Acres**:  Search for numerical values followed by ""acres"" to identify the size of the leased area.
    * **Location**: Look for information like addresses, city, county, state, township, and nearby landmarks to pinpoint the property's location.
    * **Description of Lease Area**: This phrase explicitly indicates a section dedicated to detailing the leased property.

2. **Structure:**
    * **Headings and Subheadings:** Look for headings or subheadings related to the property description, such as ""Premises,"" ""Leased Property,"" or ""Property Description.""
    * **Lease Clauses:** Identify clauses that initiate the lease agreement, often containing phrases like ""Landlord hereby leases to Tenant..."" or ""demises and leases to Tenant..."" These clauses often precede the property description.
    * **Table of Contents:** If available, utilize the table of contents to navigate directly to sections related to the property description.

3. **Features:**
    * **Numerical Values:** Look for numbers representing acreage, square footage, or parcel numbers.
    * **Legal Descriptions:** Be aware of formal legal descriptions containing metes and bounds, bearings, and distances. These might require additional interpretation.
    * **Maps or Site Plans:** Check for attached maps or site plans, often labeled as exhibits, that visually depict the leased property and its boundaries.

4. **Examples:** Use the provided samples as references for the types of text sections to extract. Pay attention to the variations in formatting and language used to describe the leased property.

**Output:**

* Extract the identified text sections verbatim, ensuring you capture the full context of the description.
* If relevant, include information about the location of the extracted text within the document (e.g., exhibit name, section heading, page number).
* If the document includes maps or site plans, indicate their presence and relevance to the property description.

**Additional Notes:**

* Adapt your search based on the specific structure and language used in each lease document.
* If certain keywords or features are more prevalent in a particular document, prioritize your search accordingly.
* If you encounter ambiguity or difficulty in identifying relevant sections, feel free to request clarification or additional information.
"
Initial Term,"## Finding Initial Term clauses in Lease agreement:

**Objective:** Identify and extract text sections within a lease document that define the duration and conditions of the lease term.

**Key Features to Look for:**

* **Keywords:** Term, Lease Term, Initial Term, Operational Term, Commencement Date, Expiration Date, Effective Date, Renewal Term, Option Term, Primary Term, anniversary, years, months.
* **Numbered Sections/Exhibits:** Pay close attention to sections labeled with numbers or titles like ""Term,"" ""Lease Term,"" or ""Article [Number].""
* **Defined Terms:** Look for capitalized terms like ""Term,"" ""Commencement Date,"" or ""Expiration Date,"" often placed within quotation marks and defined within the document.
* **Date and Time References:** Phrases indicating specific dates or times, such as ""11:59 P.M. local time"" or ""the twenty-fifth (25th) anniversary.""
* **Trigger Events:**  Identify clauses mentioning events that initiate or terminate the lease, like ""Commercial Operation Date"" or ""Notice to Operate.""

**Instructions for Gemini:**

1. **Scan the document:** Analyze the entire lease document for the keywords and features mentioned above.
2. **Identify potential sections:** Locate sections likely containing lease term information based on the identified features.
3. **Extract relevant text:** Once potential sections are identified, extract the specific text portions that explicitly define:
    * **The start and end date of the lease term (including any extensions or renewals).**
    * **Conditions or events that may affect the lease term.**
    * **Terminology related to different phases of the lease (e.g., Option Term, Primary Term).**
4. **Present the results:** Provide the extracted text sections as direct quotes, clearly indicating the source (e.g., section number or title) within the lease document.

**Additional Tips:**

* Pay attention to the context surrounding the identified keywords and features.
* Be aware of variations in terminology and phrasing across different lease documents.
* Consider potential sub-clauses or subsections within broader sections dealing with the lease term.

By following these instructions and focusing on the identified features, Gemini should effectively locate and extract the relevant lease term clauses from the provided document.
"
Rent Commencement,"## Finding Rent Commencement in Lease Agreements:

**Objective:** Identify and extract sections within a lease document that define rent commencement, payment terms, and key dates related to the lease term and operation.

**Instructions:**

1. **Keywords and Phrases:** Focus on the following keywords and phrases that typically appear near the relevant sections:
    * **Rent Commencement Date:** Look for explicit mentions of ""Rent Commencement Date,"" or variations like ""Lease Commencement Date,"" ""Commencement Date,"" and phrases indicating the start of rent payments, such as ""Commencing on...""
    * **Commercial Operation Date (COD):** Search for ""Commercial Operation Date,"" ""COD,"" or similar phrases that signify the date the leased property/project becomes operational.
    * **Term:** Identify sections discussing the lease term, including ""Primary Term,"" ""Operating Term,"" ""Initial Term,"" and durations mentioned in years or months.
    * **Rent Payment Terms:**  Look for keywords like ""Rent,"" ""annual rent,"" ""quarterly installments,"" ""escalator,"" and any numerical values representing rent amounts.

2. **Structure and Formatting:**
    * **Numbered or Lettered Sections:** Pay attention to numbered or lettered sections (e.g., 1.04, 2.2, 3a) as they often contain specific lease terms and conditions.
    * **Defined Terms:** Look for capitalized terms followed by definitions in quotation marks (e.g., ""Rent Commencement Date"" shall mean...). These definitions clarify the meaning of key terms used throughout the document.
    * **Dates and Timeframes:** Identify specific dates or timeframes mentioned, such as ""January 1, 2017,"" ""three (3) years,"" ""249th full calendar month,"" as they often relate to rent commencement, lease terms, or operational milestones.

3. **Contextual Clues:**
    * **Trigger Events:** Look for clauses describing events that trigger the start of rent payments or the commencement of the lease term, such as obtaining permits, achieving mechanical completion, or reaching commercial operation.
    * **Payment Conditions:** Analyze the language surrounding rent payment terms to understand the frequency, amount, and any escalation clauses associated with the rent.

**Example Prompts:**

* ""Find the section that defines the 'Rent Commencement Date' and explain the conditions for rent to begin.""
* ""Locate the clause specifying the 'Commercial Operation Date' and its significance in the lease agreement.""
* ""Extract the details of the 'Primary Term,' including its duration and any rent escalation clauses.""
* ""Identify the section outlining the annual rent amount and payment schedule.""

**Additional Tips:**

* Use the search function within the document to quickly locate keywords.
* Pay attention to cross-references between sections.
* Consider the overall context of the lease agreement to understand the relationship between different clauses and terms.

By following these instructions and using the provided prompts, Gemini LLM should be able to effectively locate and extract the relevant sections within a lease agreement related to rent commencement, payment terms, and key dates.
"
Renewal Terms,"## Finding Lease Extension Clauses / Renewal Terms

**Objective:** Locate and extract clauses within a lease document that pertain to the tenant's option to extend the lease term.

**Keywords and Patterns:**

* **Trigger Words:** ""extend"", ""renewal"", ""option"", ""right"", ""term""
* **Numerical Patterns:** Look for mentions of specific numbers of years (e.g., ""five (5) years"", ""two (2) additional periods"") and notice periods (e.g., ""sixty (60) days"", ""twelve (12) months"").
* **Section Headings:** Pay attention to sections labeled as ""Term"", ""Options to Extend"", ""Renewal Rights"", etc.
* **Capitalized Terms:**  Identify defined terms like ""Renewal Term"", ""Initial Term"", ""Expiration Date"", etc.

**Instructions:**

1. **Scan the document for the keywords and numerical patterns mentioned above.** This can be done by searching within the document or visually scanning for relevant sections.
2. **Pay close attention to sections with headings related to lease term or renewal options.** These sections are likely to contain the information you seek.
3. **Identify capitalized terms related to lease extensions and locate their definitions within the document.** Understanding these definitions will clarify the specific conditions and procedures for extending the lease.
4. **Extract the full clauses or sentences that describe the tenant's options to extend the lease term.** This should include the number of possible extensions, the length of each extension period, notice requirements, and any other relevant conditions.

**Example Prompt:**

> ""Gemini, please analyze the provided lease document and extract all clauses related to the tenant's option to extend the lease term. Focus on keywords such as 'extend', 'renewal', 'option', and pay attention to numerical patterns indicating the length of extensions and notice periods.  Identify any defined terms related to lease extensions and ensure you capture the complete clauses outlining the process and conditions for extending the lease.""

**Additional Tips:**

* If the document is lengthy or complex, consider using a text search tool to locate relevant keywords quickly.
* Once you have identified potential clauses, carefully read the surrounding text to understand the context and ensure you are capturing the complete information.
* If there are multiple clauses related to lease extensions, organize them by section or topic to maintain clarity.

**By following these instructions and utilizing the provided prompt, Gemini should be able to effectively locate and extract the desired lease extension clauses within the document.**
"
Rent Calculation,"## Finding Rent Calculation in Lease Documents:

**Objective:** Identify and extract sections within a lease document that define the rent amount, escalation clauses, and payment terms.

**Keywords and Patterns:**

* **Section Identifiers:** Look for sections labeled with numbers and letters (e.g., 2a, 5.b, Exhibit 5) often followed by titles like ""Rent,"" ""Primary Term Rent,"" ""Renewal Term Rent,"" etc.
* **Rent Amount:** Search for numerical values representing the rent amount, typically followed by the currency symbol (e.g., $1,000, $2,500.00). Pay attention to the units mentioned (per acre, per year).
* **Escalation Clauses:** Look for terms like ""escalate,"" ""increase,"" ""annual adjustment,"" and percentages (e.g., 2.00%, 1% per annum) that indicate changes in rent over time.
* **Payment Terms:** Identify phrases that specify the frequency and timing of rent payments (e.g., ""in advance,"" ""annual installment,"" ""payable to Lessor"").
* **Dates:** Look for dates or references to specific timeframes related to rent payments or escalation (e.g., ""Lease Commencement Date,"" ""Renewal Term,"" ""anniversary"").
* **Definitions:** Pay attention to defined terms like ""Lease Rate,"" ""Net Acreage,"" and ""Premises"" which are often crucial in understanding the context of the rent clauses.

**Instructions:**

1. **Scan the document:** Analyze the lease agreement for the keywords and patterns mentioned above.
2. **Locate potential rent sections:** Identify sections that contain a combination of these indicators.
3. **Extract the relevant text:** Once a potential rent section is identified, extract the entire paragraph or section containing the rent details, including the surrounding context for clarity.
4. **Analyze and interpret:** Review the extracted text to understand the specific rent amount, escalation clauses, payment terms, and any relevant conditions or exceptions.

**Additional Tips:**

* Pay attention to the overall structure and formatting of the document. Rent clauses may be found within specific sections dedicated to financial terms or may be interspersed throughout the agreement.
* Consider using keyword search functions within your document viewer to quickly locate relevant sections.
* Be aware of variations in language and terminology used across different lease documents.

**Example:**

Based on the provided samples, here's how you might identify a rent section:

> **5.a - Primary Term Rent** - $1,000/acre of the Premises per year, in advance in one annual installment, which shall escalate at a rate of 2.00% beginning on the eighth anniversary of the Lease Commencement Date and continuing each year after.

This section clearly indicates a rent clause due to the presence of:

* **Section Identifier:** ""5.a"" followed by the title ""Primary Term Rent""
* **Rent Amount:** ""$1,000/acre""
* **Payment Terms:** ""per year, in advance in one annual installment""
* **Escalation Clause:** ""escalate at a rate of 2.00%"" with specific timing details

By following these instructions and utilizing the provided keywords and patterns, Gemini should be able to effectively identify and extract rent-related information from lease documents.
"
Rent Amount,"## Finding the Rent Amount Text Sections in Lease Agreements:

**Objective:** Identify and extract sections within a lease agreement document that specifically pertain to rent payment details, including:

* **Rent types:** Base rent, additional rent, percentage rent, pre-construction rent, etc.
* **Rent amounts:** Specific dollar values associated with each rent type.
* **Payment schedules:** Frequency (e.g., monthly, quarterly, annually) and due dates.
* **Escalation clauses:** Provisions for rent increases over time.
* **Commencement triggers:** Events that initiate specific rent payments (e.g., Commercial Operation Date, Commencement of Construction).
* **Land area calculations:** Rent based on acreage or square footage.

**Search Strategies:**

1. **Keywords:** Look for keywords like ""rent,"" ""payment,"" ""fee,"" ""due,"" ""escalation,"" ""per annum,"" ""monthly,"" ""quarterly,"" ""Commercial Operation Date,"" ""Commencement of Construction,"" ""acre,"" ""square footage,"" etc.
2. **Section Headings:** Pay close attention to section titles or headings that explicitly mention rent, such as ""Rent,"" ""Payment of Rent,"" ""Additional Rent,"" etc.
3. **Numerical Values:** Scan for numerical values combined with currency symbols (e.g., $, €) or terms like ""dollars,"" ""per year,"" ""per month,"" etc. This helps identify specific rent amounts and calculations.
4. **Dates and Timelines:**  Identify dates and timelines like ""Effective Date,"" ""Commercial Operation Date,"" ""Commencement of Construction,"" and specific months or days related to payment schedules.
5. **Defined Terms:**  Look for capitalized terms that might be defined elsewhere in the document and relate to rent types or calculations (e.g., ""Base Rent,"" ""Percentage Rent,"" ""Net Acreage"").

**Output:**

* Extract the relevant text sections that meet the above criteria.
* Organize the extracted information by rent type and present it in a clear and concise format.
* If possible, create a table summarizing the different rent types, amounts, schedules, and escalation clauses.

**Additional Tips:**

* Be aware of variations in terminology and phrasing across different lease agreements.
* Consider the context of the surrounding text to ensure accurate interpretation of rent-related information.
* If the document is lengthy or complex, consider using keyword search functions or other tools to expedite the process.

**Example Output:**

Based on the provided samples, the output might look like:

**Rent Types and Details:**

| Rent Type          | Amount                                     | Schedule              | Escalation Clause | Commencement Trigger           |
| ------------------ | ------------------------------------------ | --------------------- | ------------------ | ------------------------------- |
| Initial Pre-Construction Rent | $5,000 for the first 4 months              | Monthly               | N/A                | Effective Date                 |
| Pre-Construction Rent | $3,000 per month                           | Monthly               | N/A                | After Initial Pre-Construction Rent |
| Storage and Staging Area Rent | $5,000 per month                           | Monthly               | N/A                | Commencement of Construction     |
| Base Rent           | $15,500 per annum (based on Expected Capacity) | Annually              | 2% per year      | Commercial Operation Date        |
| Percentage Rent      | 5% of Gross Revenues from Solar System     | Semi-annually         | N/A                | Commercial Operation Date        |

**Note:** This is just an example, and the specific output will vary depending on the individual lease agreement content.
"
Payment Terms,"## Finding Rent Payment Sections in Lease Documents:

**Objective:** Identify and extract text sections within a lease document that describe rent payment terms, including amount, frequency, due dates, and escalation clauses.

**Keywords and Patterns to Look For:**

* **Section Headings:** Look for sections titled ""Rent,"" ""Base Rent,"" ""Payments,"" ""Term,"" or similar variations.
* **Dates:** Identify mentions of ""Commercial Operation Date,"" ""Rent Commencement Date,"" ""Lease Commencement Date,"" specific dates, or anniversaries.
* **Frequency terms:**  Search for ""annual,"" ""monthly,"" ""quarterly,"" ""bi-annual,"" ""installment,"" ""payment,"" ""due,"" or related terms.
* **Monetary amounts:**  Look for numerical values representing dollar amounts, often with symbols like ""$"" or written out terms like ""Dollars.""
* **Escalation clauses:**  Identify phrases like ""annual escalator,"" ""increase,"" ""adjusted,"" ""CPI,"" or other terms suggesting rent adjustments over time.
* **Payment terms:**  Look for phrases like ""payable in advance,"" ""payable in arrears,"" ""without demand,"" ""setoff,"" and similar terms.
* **Cross-references:** Pay attention to references to other sections within the document, like ""as set forth in Section II.A.1a""
* **Common phrases:**  Be aware of phrases like ""Tenant shall pay Landlord,"" ""Lessee shall pay Lessor,"" and other variations that indicate payment obligations.

**Instructions:**

1. **Scan the document:** Quickly scan the lease document for the keywords and patterns mentioned above.
2. **Identify relevant sections:**  Focus on sections that contain a concentration of these keywords and patterns. These sections are likely to describe rent payment terms.
3. **Extract text sections:** Once you have identified relevant sections, extract the specific paragraphs or sentences that explicitly detail the rent payment terms. This may include information on:
    * **Rent amount:** The specific dollar amount of the rent, either as a total annual figure or broken down by payment frequency.
    * **Payment frequency:** How often the rent is due (e.g., annually, quarterly, monthly).
    * **Due dates:** The specific dates on which rent payments are due.
    * **Escalation clauses:**  Any provisions for rent increases over time.
    * **Payment methods:**  How the rent should be paid (e.g., check, electronic transfer).
4. **Contextual understanding:** Use your understanding of the overall lease agreement to interpret the extracted text sections and ensure they accurately represent the rent payment terms.

**Additional Tips:**

* Pay attention to formatting cues like bold text, italics, and bullet points, as these may highlight important information.
* Be aware of legal jargon and terminology commonly used in lease agreements.
* If the document has a table of contents, use it to quickly navigate to relevant sections.
* If the document is lengthy or complex, consider using a search function to find specific keywords.

**By following these instructions and utilizing your language processing capabilities, you should be able to effectively locate and extract rent payment terms from lease documents.**
"
