project,month,preventive_maintenance,corrective_maintenance,labor,parts,contractor,insurance,lease_rent,software_das,administrative,total_expense
desert_bloom,2024-05-01,48.2,19.32,23.63,4.83,7.73,23908.65,15416.67,1500,3676.03,44605.06
riverbend,2024-05-01,10.92,3.42,5.02,0.86,1.37,4277.56,3500.0,800,1270.46,9869.61
desert_bloom,2024-06-01,56.18,12.85,24.16,3.21,5.14,23707.57,15416.67,1500,3157.93,43883.72
riverbend,2024-06-01,11.52,3.32,5.19,0.83,1.33,4312.35,3500.0,800,847.37,9481.9
desert_bloom,2024-07-01,49.24,17.8,23.46,4.45,7.12,23535.7,15416.67,1500,3054.11,43608.54
riverbend,2024-07-01,12.27,2.76,5.26,0.69,1.1,4373.15,3500.0,800,1240.29,9935.51
desert_bloom,2024-08-01,57.74,51.47,38.22,12.87,20.59,23547.83,15416.67,1500,3217.69,43863.06
riverbend,2024-08-01,13.19,3.28,5.77,0.82,1.31,4269.15,3500.0,800,1193.84,9787.37
desert_bloom,2024-09-01,49.72,42.46,32.26,10.61,16.98,23948.16,15416.67,1500,3958.52,44975.39
riverbend,2024-09-01,12.3,2.77,5.28,0.69,1.11,4393.67,3500.0,800,1359.7,10075.52
desert_bloom,2024-10-01,53.77,43.13,33.91,10.78,17.25,23285.73,15416.67,1500,2402.37,42763.62
riverbend,2024-10-01,11.54,3.61,5.3,0.9,1.45,4302.81,3500.0,800,804.29,9429.91
desert_bloom,2024-11-01,54.36,11.43,23.03,2.86,4.57,23441.85,15416.67,1500,2661.03,43115.8
riverbend,2024-11-01,13.0,4.24,6.03,1.06,1.7,4358.58,3500.0,800,1137.05,9821.66
desert_bloom,2024-12-01,51.37,18.65,24.51,4.66,7.46,23668.26,15416.67,1500,3485.17,44176.75
riverbend,2024-12-01,12.54,3.2,5.51,0.8,1.28,4339.55,3500.0,800,945.78,9608.67
desert_bloom,2025-01-01,51.57,20.43,25.2,5.11,8.17,23541.44,15416.67,1500,2062.35,42630.93
riverbend,2025-01-01,12.82,3.75,5.8,0.94,1.5,4314.19,3500.0,800,1216.63,9855.64
desert_bloom,2025-02-01,51.15,11.46,21.91,2.86,4.58,23668.18,15416.67,1500,2994.11,43670.93
riverbend,2025-02-01,13.08,2.99,5.62,0.75,1.19,4299.07,3500.0,800,878.56,9501.26
desert_bloom,2025-03-01,52.53,11.39,22.37,2.85,4.56,23733.53,15416.67,1500,3000.11,43744.01
riverbend,2025-03-01,12.56,3.65,5.67,0.91,1.46,4381.09,3500.0,800,900.31,9605.65
desert_bloom,2025-04-01,55.0,11.93,23.43,2.98,4.77,23963.34,15416.67,1500,2918.74,43896.86
riverbend,2025-04-01,10.81,4.35,5.31,1.09,1.74,4365.76,3500.0,800,1216.0,9905.06
desert_bloom,2025-05-01,53.34,16.06,24.29,4.02,6.42,23571.86,15416.67,1500,3155.12,43747.78
riverbend,2025-05-01,11.57,2.7,4.99,0.68,1.08,4294.62,3500.0,800,1023.4,9639.05
desert_bloom,2025-06-01,50.72,9.95,21.23,2.49,3.98,23866.8,15416.67,1500,3028.12,43899.95
riverbend,2025-06-01,11.56,2.49,4.92,0.62,0.99,4368.75,3500.0,800,998.29,9687.63
desert_bloom,2025-07-01,51.41,51.74,36.1,12.93,20.7,23398.57,15416.67,1500,2941.47,43429.59
riverbend,2025-07-01,10.93,2.89,4.84,0.72,1.16,4277.69,3500.0,800,1217.28,9815.51
desert_bloom,2025-08-01,54.36,11.32,22.99,2.83,4.53,24051.57,15416.67,1500,3425.8,44490.05
riverbend,2025-08-01,13.14,3.32,5.76,0.83,1.33,4327.39,3500.0,800,892.26,9544.02
desert_bloom,2025-09-01,52.65,13.45,23.14,3.36,5.38,23949.71,15416.67,1500,2930.79,43895.15
riverbend,2025-09-01,12.87,2.93,5.53,0.73,1.17,4404.9,3500.0,800,1074.45,9802.58
desert_bloom,2025-10-01,57.19,11.15,23.92,2.79,4.46,23303.75,15416.67,1500,2950.67,43270.6
riverbend,2025-10-01,11.21,3.01,4.98,0.75,1.2,4351.44,3500.0,800,889.18,9561.76
desert_bloom,2025-11-01,51.27,11.81,22.08,2.95,4.72,24027.81,15416.67,1500,3065.49,44102.81
riverbend,2025-11-01,12.29,2.52,5.18,0.63,1.01,4415.47,3500.0,800,1068.67,9805.77
desert_bloom,2025-12-01,56.15,9.8,23.08,2.45,3.92,24022.96,15416.67,1500,3089.05,44124.09
riverbend,2025-12-01,10.99,2.9,4.86,0.72,1.16,4346.19,3500.0,800,1140.64,9807.47
desert_bloom,2026-01-01,56.55,7.7,22.49,1.93,3.08,24183.09,15416.67,1500,2139.22,43330.72
riverbend,2026-01-01,12.65,2.0,5.13,0.5,0.8,4332.34,3500.0,800,1262.12,9915.55
desert_bloom,2026-02-01,57.41,10.34,23.71,2.59,4.14,23275.18,15416.67,1500,2293.45,42583.48
riverbend,2026-02-01,11.74,2.26,4.9,0.57,0.9,4280.58,3500.0,800,1277.06,9878.01
desert_bloom,2026-03-01,51.05,12.11,22.1,3.03,4.84,23687.99,15416.67,1500,3965.16,44662.95
riverbend,2026-03-01,10.82,2.79,4.76,0.7,1.12,4316.73,3500.0,800,889.29,9526.2
desert_bloom,2026-04-01,48.38,10.73,20.69,2.68,4.29,24054.72,15416.67,1500,2718.49,43776.64
riverbend,2026-04-01,11.36,2.42,4.83,0.61,0.97,4315.01,3500.0,800,1022.69,9657.88
