project,month,forecast_revenue,forecast_expense,forecast_noi,forecast_production_mwh,confidence
desert_bloom,2026-05-01,724190.41,43886.08,680304.33,14896.0,high
desert_bloom,2026-06-01,776886.99,43995.52,732891.46,15960.0,high
desert_bloom,2026-07-01,814896.42,44104.96,770791.46,16720.0,high
desert_bloom,2026-08-01,801076.49,44214.41,756862.08,16416.0,medium
desert_bloom,2026-09-01,705527.04,44323.85,661203.2,14440.0,medium
desert_bloom,2026-10-01,609737.74,44433.29,565304.45,12464.0,medium
desert_bloom,2026-11-01,506263.51,44542.73,461720.78,10336.0,low
desert_bloom,2026-12-01,447256.63,44652.17,402604.46,9120.0,low
desert_bloom,2027-01-01,485127.68,44761.61,440366.07,9880.0,low
desert_bloom,2027-02-01,538036.45,44871.06,493165.39,10944.0,low
desert_bloom,2027-03-01,635966.09,44980.5,590985.59,12920.0,low
desert_bloom,2027-04-01,689188.52,45089.94,644098.58,13984.0,low
riverbend,2026-05-01,201873.9,9682.02,192191.88,1781.2,high
riverbend,2026-06-01,212852.42,9706.17,203146.25,1875.0,high
riverbend,2026-07-01,223866.3,9730.31,214135.98,1968.8,high
riverbend,2026-08-01,213559.57,9754.46,203805.11,1875.0,medium
riverbend,2026-09-01,181826.18,9778.6,172047.57,1593.8,medium
riverbend,2026-10-01,139273.37,9802.75,129470.62,1218.8,medium
riverbend,2026-11-01,96579.13,9826.89,86752.24,843.8,low
riverbend,2026-12-01,75240.86,9851.04,65389.82,656.2,low
riverbend,2027-01-01,86130.98,9875.18,76255.8,750.0,low
riverbend,2027-02-01,107840.51,9899.33,97941.19,937.5,low
riverbend,2027-03-01,151224.22,9923.47,141300.75,1312.5,low
riverbend,2027-04-01,183929.95,9947.62,173982.33,1593.8,low
