project,month,total_revenue,total_expense,ebitda,ebitda_margin_pct,om_cost_per_mw,revenue_per_mwh
desert_bloom,2024-05-01,866529.72,44605.06,821924.66,94.85,594.73,57.69
riverbend,2024-05-01,183607.41,9869.61,173737.8,94.62,822.47,105.5
desert_bloom,2024-06-01,912776.58,43883.72,868892.87,95.19,585.12,56.52
riverbend,2024-06-01,193251.22,9481.9,183769.32,95.09,790.16,103.26
desert_bloom,2024-07-01,910042.18,43608.54,866433.64,95.21,581.45,52.96
riverbend,2024-07-01,202762.96,9935.51,192827.45,95.1,827.96,105.05
desert_bloom,2024-08-01,922952.37,43863.06,879089.31,95.25,584.84,60.63
riverbend,2024-08-01,176287.07,9787.37,166499.7,94.45,815.61,103.58
desert_bloom,2024-09-01,730378.64,44975.39,685403.25,93.84,599.67,60.21
riverbend,2024-09-01,133946.79,10075.52,123871.28,92.48,839.63,100.12
desert_bloom,2024-10-01,658788.3,42763.62,616024.68,93.51,570.18,59.48
riverbend,2024-10-01,118890.9,9429.91,109460.99,92.07,785.83,104.8
desert_bloom,2024-11-01,663476.04,43115.8,620360.25,93.5,574.88,63.84
riverbend,2024-11-01,90535.89,9821.66,80714.24,89.15,818.47,104.38
desert_bloom,2024-12-01,601223.06,44176.75,557046.31,92.65,589.02,66.23
riverbend,2024-12-01,70783.79,9608.67,61175.12,86.43,800.72,104.0
desert_bloom,2025-01-01,670757.73,42630.93,628126.8,93.64,568.41,67.98
riverbend,2025-01-01,80549.13,9855.64,70693.49,87.76,821.3,106.08
desert_bloom,2025-02-01,681587.96,43670.93,637917.04,93.59,582.28,61.33
riverbend,2025-02-01,96227.76,9501.26,86726.5,90.13,791.77,102.97
desert_bloom,2025-03-01,837104.76,43744.01,793360.76,94.77,583.25,63.98
riverbend,2025-03-01,142204.76,9605.65,132599.11,93.25,800.47,105.19
desert_bloom,2025-04-01,877967.36,43896.86,834070.51,95.0,585.29,61.18
riverbend,2025-04-01,172224.01,9905.06,162318.95,94.25,825.42,104.75
desert_bloom,2025-05-01,809020.5,43747.78,765272.72,94.59,583.3,53.59
riverbend,2025-05-01,198242.13,9639.05,188603.09,95.14,803.25,107.3
desert_bloom,2025-06-01,865518.87,43899.95,821618.92,94.93,585.33,53.45
riverbend,2025-06-01,195946.67,9687.63,186259.04,95.06,807.3,104.27
desert_bloom,2025-07-01,788555.52,43429.59,745125.93,94.49,579.06,56.87
riverbend,2025-07-01,169918.77,9815.51,160103.26,94.22,817.96,104.46
desert_bloom,2025-08-01,954709.34,44490.05,910219.29,95.34,593.2,58.83
riverbend,2025-08-01,205678.15,9544.02,196134.13,95.36,795.34,106.58
desert_bloom,2025-09-01,832588.84,43895.15,788693.69,94.73,585.27,58.4
riverbend,2025-09-01,170194.76,9802.58,160392.19,94.24,816.88,103.71
desert_bloom,2025-10-01,800412.9,43270.6,757142.3,94.59,576.94,63.91
riverbend,2025-10-01,126849.47,9561.76,117287.7,92.46,796.81,105.26
desert_bloom,2025-11-01,704960.01,44102.81,660857.2,93.74,588.04,65.32
riverbend,2025-11-01,91224.16,9805.77,81418.39,89.25,817.15,105.17
desert_bloom,2025-12-01,591554.14,44124.09,547430.05,92.54,588.32,65.37
riverbend,2025-12-01,71391.11,9807.47,61583.64,86.26,817.29,105.92
desert_bloom,2026-01-01,634282.09,43330.72,590951.37,93.17,577.74,62.96
riverbend,2026-01-01,83315.25,9915.55,73399.7,88.1,826.3,106.3
desert_bloom,2026-02-01,672572.94,42583.48,629989.45,93.67,567.78,62.02
riverbend,2026-02-01,101654.3,9878.01,91776.29,90.28,823.17,105.0
desert_bloom,2026-03-01,809423.54,44662.95,764760.59,94.48,595.51,61.84
riverbend,2026-03-01,141856.98,9526.2,132330.78,93.28,793.85,103.38
desert_bloom,2026-04-01,834149.26,43776.64,790372.62,94.75,583.69,58.38
riverbend,2026-04-01,180323.48,9657.88,170665.6,94.64,804.82,108.81
