id,invoice_id,project,type,amount,payment_date,payment_method,reference
PAY-7001,INV-AR-5001,desert_bloom,accounts_receivable,690131.4,2024-05-20,wire_transfer,REF-7001-DE
PAY-7002,INV-AP-5002,desert_bloom,accounts_payable,44605.06,2024-06-02,ach,REF-7002-DE
PAY-7003,INV-AR-5003,desert_bloom,accounts_receivable,772650.45,2024-06-27,ach,REF-7003-DE
PAY-7004,INV-AP-5004,desert_bloom,accounts_payable,43883.72,2024-06-20,ach,REF-7004-DE
PAY-7005,INV-AR-5005,desert_bloom,accounts_receivable,809680.57,2024-07-20,wire_transfer,REF-7005-DE
PAY-7006,INV-AP-5006,desert_bloom,accounts_payable,43608.54,2024-07-16,wire_transfer,REF-7006-DE
PAY-7007,INV-AR-5007,desert_bloom,accounts_receivable,745037.34,2024-09-05,wire_transfer,REF-7007-DE
PAY-7008,INV-AP-5008,desert_bloom,accounts_payable,43863.06,2024-08-20,check,REF-7008-DE
PAY-7009,INV-AR-5009,desert_bloom,accounts_receivable,582531.49,2024-10-01,check,REF-7009-DE
PAY-7010,INV-AP-5010,desert_bloom,accounts_payable,44975.39,2024-09-29,wire_transfer,REF-7010-DE
PAY-7011,INV-AR-5011,desert_bloom,accounts_receivable,547889.56,2024-10-18,wire_transfer,REF-7011-DE
PAY-7012,INV-AP-5012,desert_bloom,accounts_payable,42763.62,2024-11-05,ach,REF-7012-DE
PAY-7013,INV-AR-5013,desert_bloom,accounts_receivable,505069.99,2024-11-30,check,REF-7013-DE
PAY-7014,INV-AP-5014,desert_bloom,accounts_payable,43115.8,2024-12-05,ach,REF-7014-DE
PAY-7015,INV-AR-5015,desert_bloom,accounts_receivable,447225.47,2025-01-04,wire_transfer,REF-7015-DE
PAY-7016,INV-AP-5016,desert_bloom,accounts_payable,44176.75,2024-12-30,check,REF-7016-DE
PAY-7017,INV-AR-5017,desert_bloom,accounts_receivable,484730.14,2025-01-29,check,REF-7017-DE
PAY-7018,INV-AP-5018,desert_bloom,accounts_payable,42630.93,2025-01-30,ach,REF-7018-DE
PAY-7019,INV-AR-5019,desert_bloom,accounts_receivable,548250.3,2025-02-27,wire_transfer,REF-7019-DE
PAY-7020,INV-AP-5020,desert_bloom,accounts_payable,43670.93,2025-02-21,ach,REF-7020-DE
PAY-7021,INV-AR-5021,desert_bloom,accounts_receivable,638247.36,2025-04-04,wire_transfer,REF-7021-DE
PAY-7022,INV-AP-5022,desert_bloom,accounts_payable,43744.01,2025-04-03,ach,REF-7022-DE
PAY-7023,INV-AR-5023,desert_bloom,accounts_receivable,701686.16,2025-04-23,check,REF-7023-DE
PAY-7024,INV-AP-5024,desert_bloom,accounts_payable,43896.86,2025-05-02,ach,REF-7024-DE
PAY-7025,INV-AR-5025,desert_bloom,accounts_receivable,707659.94,2025-05-29,check,REF-7025-DE
PAY-7026,INV-AP-5026,desert_bloom,accounts_payable,43747.78,2025-06-03,ach,REF-7026-DE
PAY-7027,INV-AR-5027,desert_bloom,accounts_receivable,771498.07,2025-06-17,wire_transfer,REF-7027-DE
PAY-7028,INV-AP-5028,desert_bloom,accounts_payable,43899.95,2025-07-04,ach,REF-7028-DE
PAY-7029,INV-AR-5029,desert_bloom,accounts_receivable,654862.28,2025-07-27,wire_transfer,REF-7029-DE
PAY-7030,INV-AP-5030,desert_bloom,accounts_payable,43429.59,2025-08-03,ach,REF-7030-DE
PAY-7031,INV-AR-5031,desert_bloom,accounts_receivable,787117.37,2025-08-18,wire_transfer,REF-7031-DE
PAY-7032,INV-AP-5032,desert_bloom,accounts_payable,44490.05,2025-09-01,ach,REF-7032-DE
PAY-7033,INV-AR-5033,desert_bloom,accounts_receivable,704644.1,2025-09-30,check,REF-7033-DE
PAY-7034,INV-AP-5034,desert_bloom,accounts_payable,43895.15,2025-09-18,check,REF-7034-DE
PAY-7035,INV-AR-5035,desert_bloom,accounts_receivable,615720.7,2025-11-04,wire_transfer,REF-7035-DE
PAY-7036,INV-AP-5036,desert_bloom,accounts_payable,43270.6,2025-10-23,ach,REF-7036-DE
PAY-7037,INV-AR-5037,desert_bloom,accounts_receivable,516044.04,2025-12-06,check,REF-7037-DE
PAY-7038,INV-AP-5038,desert_bloom,accounts_payable,44102.81,2025-11-18,check,REF-7038-DE
PAY-7039,INV-AR-5039,desert_bloom,accounts_receivable,443167.3,2026-01-05,check,REF-7039-DE
PAY-7040,INV-AP-5040,desert_bloom,accounts_payable,44124.09,2026-01-03,ach,REF-7040-DE
PAY-7041,INV-AR-5041,desert_bloom,accounts_receivable,494963.68,2026-02-04,wire_transfer,REF-7041-DE
PAY-7042,INV-AP-5042,desert_bloom,accounts_payable,43330.72,2026-01-26,check,REF-7042-DE
PAY-7043,INV-AR-5043,desert_bloom,accounts_receivable,517954.84,2026-02-16,ach,REF-7043-DE
PAY-7044,INV-AP-5044,desert_bloom,accounts_payable,42583.48,2026-03-02,check,REF-7044-DE
PAY-7045,INV-AR-5049,riverbend,accounts_receivable,183607.41,2024-05-31,check,REF-7045-RI
PAY-7046,INV-AP-5050,riverbend,accounts_payable,9869.61,2024-05-26,ach,REF-7046-RI
PAY-7047,INV-AR-5051,riverbend,accounts_receivable,193251.22,2024-06-27,ach,REF-7047-RI
PAY-7048,INV-AP-5052,riverbend,accounts_payable,9481.9,2024-06-25,wire_transfer,REF-7048-RI
PAY-7049,INV-AR-5053,riverbend,accounts_receivable,202762.96,2024-07-17,check,REF-7049-RI
PAY-7050,INV-AP-5054,riverbend,accounts_payable,9935.51,2024-08-04,check,REF-7050-RI
PAY-7051,INV-AR-5055,riverbend,accounts_receivable,176287.07,2024-08-25,check,REF-7051-RI
PAY-7052,INV-AP-5056,riverbend,accounts_payable,9787.37,2024-09-03,ach,REF-7052-RI
PAY-7053,INV-AR-5057,riverbend,accounts_receivable,133946.79,2024-09-17,check,REF-7053-RI
PAY-7054,INV-AP-5058,riverbend,accounts_payable,10075.52,2024-10-01,check,REF-7054-RI
PAY-7055,INV-AR-5059,riverbend,accounts_receivable,118890.9,2024-10-21,check,REF-7055-RI
PAY-7056,INV-AP-5060,riverbend,accounts_payable,9429.91,2024-10-17,check,REF-7056-RI
PAY-7057,INV-AR-5061,riverbend,accounts_receivable,90535.89,2024-11-25,check,REF-7057-RI
PAY-7058,INV-AP-5062,riverbend,accounts_payable,9821.66,2024-12-05,wire_transfer,REF-7058-RI
PAY-7059,INV-AR-5063,riverbend,accounts_receivable,70783.79,2024-12-25,ach,REF-7059-RI
PAY-7060,INV-AP-5064,riverbend,accounts_payable,9608.67,2024-12-18,wire_transfer,REF-7060-RI
PAY-7061,INV-AR-5065,riverbend,accounts_receivable,80549.13,2025-02-01,wire_transfer,REF-7061-RI
PAY-7062,INV-AP-5066,riverbend,accounts_payable,9855.64,2025-01-24,ach,REF-7062-RI
PAY-7063,INV-AR-5067,riverbend,accounts_receivable,96227.76,2025-02-20,check,REF-7063-RI
PAY-7064,INV-AP-5068,riverbend,accounts_payable,9501.26,2025-02-24,ach,REF-7064-RI
PAY-7065,INV-AR-5069,riverbend,accounts_receivable,142204.76,2025-03-24,wire_transfer,REF-7065-RI
PAY-7066,INV-AP-5070,riverbend,accounts_payable,9605.65,2025-03-19,check,REF-7066-RI
PAY-7067,INV-AR-5071,riverbend,accounts_receivable,172224.01,2025-04-21,check,REF-7067-RI
PAY-7068,INV-AP-5072,riverbend,accounts_payable,9905.06,2025-04-20,check,REF-7068-RI
PAY-7069,INV-AR-5073,riverbend,accounts_receivable,198242.13,2025-05-30,ach,REF-7069-RI
PAY-7070,INV-AP-5074,riverbend,accounts_payable,9639.05,2025-05-21,ach,REF-7070-RI
PAY-7071,INV-AR-5075,riverbend,accounts_receivable,195946.67,2025-06-23,ach,REF-7071-RI
PAY-7072,INV-AP-5076,riverbend,accounts_payable,9687.63,2025-06-21,check,REF-7072-RI
PAY-7073,INV-AR-5077,riverbend,accounts_receivable,169918.77,2025-07-17,ach,REF-7073-RI
PAY-7074,INV-AP-5078,riverbend,accounts_payable,9815.51,2025-07-18,wire_transfer,REF-7074-RI
PAY-7075,INV-AR-5079,riverbend,accounts_receivable,205678.15,2025-09-04,wire_transfer,REF-7075-RI
PAY-7076,INV-AP-5080,riverbend,accounts_payable,9544.02,2025-08-31,ach,REF-7076-RI
PAY-7077,INV-AR-5081,riverbend,accounts_receivable,170194.76,2025-09-28,wire_transfer,REF-7077-RI
PAY-7078,INV-AP-5082,riverbend,accounts_payable,9802.58,2025-09-30,check,REF-7078-RI
PAY-7079,INV-AR-5083,riverbend,accounts_receivable,126849.47,2025-11-05,wire_transfer,REF-7079-RI
PAY-7080,INV-AP-5084,riverbend,accounts_payable,9561.76,2025-10-22,check,REF-7080-RI
PAY-7081,INV-AR-5085,riverbend,accounts_receivable,91224.16,2025-11-27,wire_transfer,REF-7081-RI
PAY-7082,INV-AP-5086,riverbend,accounts_payable,9805.77,2025-12-06,ach,REF-7082-RI
PAY-7083,INV-AR-5087,riverbend,accounts_receivable,71391.11,2025-12-19,wire_transfer,REF-7083-RI
PAY-7084,INV-AP-5088,riverbend,accounts_payable,9807.47,2025-12-21,ach,REF-7084-RI
PAY-7085,INV-AR-5089,riverbend,accounts_receivable,83315.25,2026-01-28,ach,REF-7085-RI
PAY-7086,INV-AP-5090,riverbend,accounts_payable,9915.55,2026-01-25,ach,REF-7086-RI
PAY-7087,INV-AR-5091,riverbend,accounts_receivable,101654.3,2026-03-05,wire_transfer,REF-7087-RI
PAY-7088,INV-AP-5092,riverbend,accounts_payable,9878.01,2026-02-28,check,REF-7088-RI
