project,month,energy_sales,rec_revenue,capacity_payments,battery_dispatch_value,demand_charge_savings,total_revenue
desert_bloom,2024-05-01,638375.5,32245.57,19334.31,176574.34,0,866529.72
riverbend,2024-05-01,165338.0,5039.02,0,0,13230.39,183607.41
desert_bloom,2024-06-01,686379.25,61907.68,24223.62,140266.03,0,912776.58
riverbend,2024-06-01,177792.5,8972.79,0,0,6485.93,193251.22
desert_bloom,2024-07-01,730235.0,56390.83,22954.24,100462.11,0,910042.18
riverbend,2024-07-01,183359.5,6898.06,0,0,12505.4,202762.96
desert_bloom,2024-08-01,646977.5,75529.95,22352.97,178091.96,0,922952.37
riverbend,2024-08-01,161690.0,5019.99,0,0,9577.08,176287.07
desert_bloom,2024-09-01,515525.0,43172.09,23686.72,147994.83,0,730378.64
riverbend,2024-09-01,127091.0,2681.94,0,0,4173.85,133946.79
desert_bloom,2024-10-01,470708.75,55343.84,21726.37,111009.33,0,658788.3
riverbend,2024-10-01,107777.5,3227.52,0,0,7885.88,118890.9
desert_bloom,2024-11-01,441672.75,42166.83,21072.25,158564.2,0,663476.04
riverbend,2024-11-01,82403.0,2614.18,0,0,5518.72,90535.89
desert_bloom,2024-12-01,385806.5,35236.4,26028.52,154151.63,0,601223.06
riverbend,2024-12-01,64657.0,3066.32,0,0,3060.47,70783.79
desert_bloom,2025-01-01,419326.25,40023.26,25195.82,186212.4,0,670757.73
riverbend,2025-01-01,72133.5,3759.19,0,0,4656.45,80549.13
desert_bloom,2025-02-01,472302.5,51050.69,24763.86,133470.91,0,681587.96
riverbend,2025-02-01,88777.5,2535.23,0,0,4915.03,96227.76
desert_bloom,2025-03-01,556070.0,56978.62,25000.11,199056.03,0,837104.76
riverbend,2025-03-01,128430.5,3475.24,0,0,10299.02,142204.76
desert_bloom,2025-04-01,609879.25,66231.41,25399.25,176457.46,0,877967.36
riverbend,2025-04-01,156189.5,6808.27,0,0,9226.24,172224.01
desert_bloom,2025-05-01,651220.95,34136.4,22201.88,101461.27,0,809020.5
riverbend,2025-05-01,179032.44,5425.35,0,0,13784.35,198242.13
desert_bloom,2025-06-01,698529.85,53815.29,19058.86,94114.87,0,865518.87
riverbend,2025-06-01,182094.48,4923.0,0,0,8929.19,195946.67
desert_bloom,2025-07-01,598170.46,37917.87,18641.19,133826.0,0,788555.52
riverbend,2025-07-01,157627.23,6549.89,0,0,5741.66,169918.77
desert_bloom,2025-08-01,700104.37,61319.79,25525.57,167759.61,0,954709.34
riverbend,2025-08-01,186997.62,7743.54,0,0,10937.0,205678.15
desert_bloom,2025-09-01,614963.89,63275.57,26277.2,128072.19,0,832588.84
riverbend,2025-09-01,159012.9,4422.63,0,0,6759.23,170194.76
desert_bloom,2025-10-01,540219.54,51330.64,23986.63,184876.09,0,800412.9
riverbend,2025-10-01,116774.19,3680.76,0,0,6394.51,126849.47
desert_bloom,2025-11-01,465578.72,24918.61,25357.98,189104.7,0,704960.01
riverbend,2025-11-01,84051.06,2777.8,0,0,4395.3,91224.16
desert_bloom,2025-12-01,390346.92,27347.07,25325.24,148534.91,0,591554.14
riverbend,2025-12-01,65310.6,1825.5,0,0,4255.0,71391.11
desert_bloom,2026-01-01,434610.31,38048.13,22166.18,139457.47,0,634282.09
riverbend,2026-01-01,75950.22,1823.3,0,0,5541.73,83315.25
desert_bloom,2026-02-01,467813.25,24634.81,25353.3,154771.58,0,672572.94
riverbend,2026-02-01,93808.89,2369.57,0,0,5475.84,101654.3
desert_bloom,2026-03-01,564669.88,38612.79,23132.49,183008.38,0,809423.54
riverbend,2026-03-01,132966.18,4161.6,0,0,4729.2,141856.98
desert_bloom,2026-04-01,616339.97,41185.35,21323.01,155300.93,0,834149.26
riverbend,2026-04-01,160582.68,7596.18,0,0,12144.62,180323.48
