project,month,energy_produced_mwh,energy_expected_mwh,performance_ratio,availability_pct,capacity_factor_pct,soiling_loss_pct,clipping_loss_pct,weather_loss_pct,curtailment_mwh,battery_throughput_mwh,battery_efficiency_pct,carbon_offset_tons
desert_bloom,2024-05-01,15020.6,14896.0,0.8093,98.55,26.92,2.06,2.29,1.85,126.8,14.0,88.39,5798.0
desert_bloom,2024-06-01,16150.1,15960.0,0.827,98.63,29.91,3.1,0.82,1.37,282.9,11.5,92.29,6234.0
desert_bloom,2024-07-01,17182.0,16720.0,0.8382,98.53,30.79,2.71,1.14,1.3,338.6,10.0,89.71,6632.3
desert_bloom,2024-08-01,15223.0,16416.0,0.7506,90.67,27.28,2.27,2.97,2.09,64.0,13.8,92.05,5876.1
desert_bloom,2024-09-01,12130.0,14440.0,0.6953,85.0,22.46,3.08,1.27,2.14,54.5,12.9,91.03,4682.2
desert_bloom,2024-10-01,11075.5,12464.0,0.7588,89.87,19.85,2.65,0.51,1.26,168.6,10.7,89.47,4275.2
desert_bloom,2024-11-01,10392.3,10336.0,0.8397,98.78,19.24,2.05,1.52,1.11,110.3,12.1,90.13,4011.4
desert_bloom,2024-12-01,9077.8,9120.0,0.839,99.83,16.27,2.22,0.49,1.88,90.9,13.1,92.24,3504.0
desert_bloom,2025-01-01,9866.5,9880.0,0.8333,99.88,17.68,2.64,0.85,0.88,46.1,13.0,90.57,3808.5
desert_bloom,2025-02-01,11113.0,10944.0,0.8323,99.9,22.05,2.22,1.8,1.71,138.0,10.3,90.86,4289.6
desert_bloom,2025-03-01,13084.0,12920.0,0.8492,99.7,23.45,2.5,0.83,0.74,173.4,13.8,90.05,5050.4
desert_bloom,2025-04-01,14350.1,13984.0,0.8464,99.9,26.57,3.92,1.84,1.2,188.5,12.1,88.96,5539.2
desert_bloom,2025-05-01,15096.4,14896.0,0.8314,99.8,27.05,2.35,1.31,0.84,154.0,12.1,88.51,5827.2
desert_bloom,2025-06-01,16193.1,15960.0,0.8406,99.9,29.99,2.4,1.48,0.86,157.5,10.4,92.26,6250.5
desert_bloom,2025-07-01,13866.6,16720.0,0.6753,85.0,24.85,2.99,0.6,1.53,119.0,10.8,88.65,5352.5
desert_bloom,2025-08-01,16229.6,16416.0,0.8467,99.9,29.09,2.46,2.07,1.71,120.8,13.0,92.27,6264.6
desert_bloom,2025-09-01,14255.9,14440.0,0.823,99.9,26.4,2.94,2.02,2.03,142.0,11.3,90.88,5502.8
desert_bloom,2025-10-01,12523.2,12464.0,0.8335,99.9,22.44,2.83,1.86,1.1,168.8,13.6,89.66,4834.0
desert_bloom,2025-11-01,10792.9,10336.0,0.8367,99.9,19.99,3.7,1.15,0.9,139.4,13.9,89.45,4166.1
desert_bloom,2025-12-01,9048.9,9120.0,0.8423,99.9,16.22,2.93,0.52,1.16,37.2,12.2,88.52,3492.9
desert_bloom,2026-01-01,10075.0,9880.0,0.8574,99.9,18.06,3.18,1.6,1.14,75.9,11.7,88.67,3888.9
desert_bloom,2026-02-01,10844.7,10944.0,0.8425,99.9,21.52,3.04,1.56,1.73,1.4,10.8,90.2,4186.1
desert_bloom,2026-03-01,13090.0,12920.0,0.858,99.9,23.46,3.2,1.83,0.67,186.7,12.7,91.59,5052.7
desert_bloom,2026-04-01,14287.8,13984.0,0.8406,99.9,26.46,3.8,2.05,1.59,255.9,13.1,89.62,5515.1
riverbend,2024-05-01,1740.4,1781.2,0.8186,98.37,19.49,1.54,1.69,1.34,4.8,0,,671.8
riverbend,2024-06-01,1871.5,1875.0,0.8302,99.6,21.66,0.64,1.79,1.06,35.0,0,,722.4
riverbend,2024-07-01,1930.1,1968.8,0.8193,98.36,21.62,1.33,2.1,1.72,30.1,0,,745.0
riverbend,2024-08-01,1702.0,1875.0,0.7615,90.51,19.06,1.79,1.11,1.44,13.0,0,,657.0
