project,month,budget_revenue,budget_expense,actual_revenue,actual_expense,variance_revenue,variance_expense,variance_revenue_pct,variance_expense_pct
desert_bloom,2024-05-01,851438.79,44410.97,866529.72,44605.06,15090.93,194.09,1.77,0.44
riverbend,2024-05-01,186826.64,9804.18,183607.41,9869.61,-3219.23,65.43,-1.72,0.67
desert_bloom,2024-06-01,896472.85,43718.13,912776.58,43883.72,16303.73,165.58,1.82,0.38
riverbend,2024-06-01,193259.43,9437.65,193251.22,9481.9,-8.2,44.25,-0.0,0.47
desert_bloom,2024-07-01,884236.37,43446.19,910042.18,43608.54,25805.82,162.35,2.92,0.37
riverbend,2024-07-01,205809.44,9871.84,202762.96,9935.51,-3046.48,63.67,-1.48,0.64
desert_bloom,2024-08-01,963632.63,43677.26,922952.37,43863.06,-40680.25,185.81,-4.22,0.43
riverbend,2024-08-01,192243.22,9725.75,176287.07,9787.37,-15956.15,61.62,-8.3,0.63
desert_bloom,2024-09-01,819969.56,44756.83,730378.64,44975.39,-89590.92,218.56,-10.93,0.49
riverbend,2024-09-01,158053.35,10005.87,133946.79,10075.52,-24106.56,69.65,-15.25,0.7
desert_bloom,2024-10-01,711162.76,42622.43,658788.3,42763.62,-52374.46,141.19,-7.36,0.33
riverbend,2024-10-01,126500.36,9387.68,118890.9,9429.91,-7609.46,42.23,-6.02,0.45
desert_bloom,2024-11-01,652101.47,42975.75,663476.04,43115.8,11374.57,140.04,1.74,0.33
riverbend,2024-11-01,88013.21,9762.46,90535.89,9821.66,2522.69,59.2,2.87,0.61
desert_bloom,2024-12-01,594007.55,43992.39,601223.06,44176.75,7215.51,184.36,1.21,0.42
riverbend,2024-12-01,68317.51,9559.52,70783.79,9608.67,2466.27,49.15,3.61,0.51
desert_bloom,2025-01-01,660761.07,42516.91,670757.73,42630.93,9996.66,114.01,1.51,0.27
riverbend,2025-01-01,79432.81,9792.69,80549.13,9855.64,1116.32,62.95,1.41,0.64
desert_bloom,2025-02-01,666493.72,43514.33,681587.96,43670.93,15094.24,156.59,2.26,0.36
riverbend,2025-02-01,96267.01,9455.55,96227.76,9501.26,-39.25,45.72,-0.04,0.48
desert_bloom,2025-03-01,818931.96,43587.09,837104.76,43744.01,18172.81,156.91,2.22,0.36
riverbend,2025-03-01,137946.81,9558.57,142204.76,9605.65,4257.95,47.08,3.09,0.49
desert_bloom,2025-04-01,852315.28,43743.69,877967.36,43896.86,25652.09,153.17,3.01,0.35
riverbend,2025-04-01,166979.45,9841.94,172224.01,9905.06,5244.56,63.12,3.14,0.64
desert_bloom,2025-05-01,794192.59,43581.01,809020.5,43747.78,14827.91,166.77,1.87,0.38
riverbend,2025-05-01,191123.6,9586.27,198242.13,9639.05,7118.53,52.78,3.72,0.55
desert_bloom,2025-06-01,849804.83,43742.34,865518.87,43899.95,15714.04,157.61,1.85,0.36
riverbend,2025-06-01,195093.23,9636.2,195946.67,9687.63,853.44,51.43,0.44,0.53
desert_bloom,2025-07-01,904020.71,43257.7,788555.52,43429.59,-115465.18,171.9,-12.77,0.4
riverbend,2025-07-01,202776.34,9752.98,169918.77,9815.51,-32857.56,62.53,-16.2,0.64
desert_bloom,2025-08-01,953085.91,44311.82,954709.34,44490.05,1623.43,178.23,0.17,0.4
riverbend,2025-08-01,199821.18,9497.47,205678.15,9544.02,5856.97,46.55,2.93,0.49
desert_bloom,2025-09-01,832812.99,43740.78,832588.84,43895.15,-224.14,154.37,-0.03,0.35
riverbend,2025-09-01,165278.28,9747.1,170194.76,9802.58,4916.49,55.48,2.97,0.57
desert_bloom,2025-10-01,787416.03,43116.1,800412.9,43270.6,12996.88,154.5,1.65,0.36
riverbend,2025-10-01,127852.43,9515.57,126849.47,9561.76,-1002.96,46.19,-0.78,0.49
desert_bloom,2025-11-01,674527.35,43942.48,704960.01,44102.81,30432.66,160.32,4.51,0.36
riverbend,2025-11-01,88712.71,9750.79,91224.16,9805.77,2511.45,54.98,2.83,0.56
desert_bloom,2025-12-01,585928.21,43963.31,591554.14,44124.09,5625.93,160.78,0.96,0.37
riverbend,2025-12-01,69458.38,9748.76,71391.11,9807.47,1932.73,58.71,2.78,0.6
desert_bloom,2026-01-01,617789.1,43218.35,634282.09,43330.72,16492.99,112.37,2.67,0.26
riverbend,2026-01-01,79762.94,9851.11,83315.25,9915.55,3552.31,64.44,4.45,0.65
desert_bloom,2026-02-01,667850.25,42462.2,672572.94,42583.48,4722.69,121.28,0.71,0.29
riverbend,2026-02-01,98415.37,9812.74,101654.3,9878.01,3238.93,65.27,3.29,0.67
desert_bloom,2026-03-01,791783.12,44457.51,809423.54,44662.95,17640.42,205.43,2.23,0.46
riverbend,2026-03-01,135835.59,9480.12,141856.98,9526.2,6021.39,46.08,4.43,0.49
desert_bloom,2026-04-01,812212.89,43634.25,834149.26,43776.64,21936.37,142.39,2.7,0.33
riverbend,2026-04-01,173567.95,9605.27,180323.48,9657.88,6755.54,52.61,3.89,0.55
