month,total_production_mwh,total_revenue,total_expense,total_ebitda,avg_availability
2024-05-01,16761.0,1050137.13,54474.67,995662.46,98.46
2024-06-01,18021.6,1106027.8,53365.62,1052662.18,99.11
2024-07-01,19112.1,1112805.14,53544.05,1059261.09,98.44
2024-08-01,16925.0,1099239.44,53650.43,1045589.01,90.59
2024-09-01,13467.8,864325.43,55050.91,809274.52,85.13
2024-10-01,12210.0,777679.2,52193.53,725485.67,90.44
2024-11-01,11259.7,754011.93,52937.46,701074.47,99.38
2024-12-01,9758.4,672006.85,53785.42,618221.43,100.02
2025-01-01,10625.8,751306.86,52486.57,698820.29,100.09
2025-02-01,12047.5,777815.72,53172.19,724643.53,100.4
2025-03-01,14435.9,979309.52,53349.66,925959.86,100.06
2025-04-01,15994.2,1050191.37,53801.92,996389.45,100.56
2025-05-01,16944.0,1007262.63,53386.83,953875.8,99.77
2025-06-01,18072.3,1061465.54,53587.58,1007877.96,100.46
2025-07-01,15493.3,958474.29,53245.1,905229.19,85.0
2025-08-01,18159.4,1160387.49,54034.07,1106353.42,100.31
2025-09-01,15896.9,1002783.6,53697.73,949085.87,100.68
2025-10-01,13728.3,927262.37,52832.36,874430.01,101.19
2025-11-01,11660.3,796184.17,53908.58,742275.59,101.29
2025-12-01,9722.9,662945.25,53931.56,609013.69,100.55
2026-01-01,10858.8,717597.34,53246.27,664351.07,101.42
2026-02-01,11812.8,774227.24,52461.49,721765.75,100.57
2026-03-01,14462.2,951280.52,54189.15,897091.37,100.78
2026-04-01,15945.0,1014472.74,53434.52,961038.22,100.91
