project,month,total_revenue,total_expense,ebitda,ebitda_margin_pct,om_cost_per_mw,revenue_per_mwh
desert_bloom,2024-05-01,690131.4,44605.06,645526.34,93.54,594.73,45.95
riverbend,2024-05-01,183607.41,9869.61,173737.8,94.62,822.47,105.5
desert_bloom,2024-06-01,772650.45,43883.72,728766.73,94.32,585.12,47.84
riverbend,2024-06-01,193251.22,9481.9,183769.32,95.09,790.16,103.26
desert_bloom,2024-07-01,809680.57,43608.54,766072.03,94.61,581.45,47.12
riverbend,2024-07-01,202762.96,9935.51,192827.45,95.1,827.96,105.05
desert_bloom,2024-08-01,745037.34,43863.06,701174.27,94.11,584.84,48.94
riverbend,2024-08-01,176287.07,9787.37,166499.7,94.45,815.61,103.58
desert_bloom,2024-09-01,582531.49,44975.39,537556.1,92.28,599.67,48.02
riverbend,2024-09-01,133946.79,10075.52,123871.28,92.48,839.63,100.12
desert_bloom,2024-10-01,547889.56,42763.62,505125.94,92.19,570.18,49.47
riverbend,2024-10-01,118890.9,9429.91,109460.99,92.07,785.83,104.8
desert_bloom,2024-11-01,505069.99,43115.8,461954.2,91.46,574.88,48.6
riverbend,2024-11-01,90535.89,9821.66,80714.24,89.15,818.47,104.38
desert_bloom,2024-12-01,447225.47,44176.75,403048.72,90.12,589.02,49.27
riverbend,2024-12-01,70783.79,9608.67,61175.12,86.43,800.72,104.0
desert_bloom,2025-01-01,484730.14,42630.93,442099.21,91.21,568.41,49.13
riverbend,2025-01-01,80549.13,9855.64,70693.49,87.76,821.3,106.08
desert_bloom,2025-02-01,548250.3,43670.93,504579.37,92.03,582.28,49.33
riverbend,2025-02-01,96227.76,9501.26,86726.5,90.13,791.77,102.97
desert_bloom,2025-03-01,638247.36,43744.01,594503.36,93.15,583.25,48.78
riverbend,2025-03-01,142204.76,9605.65,132599.11,93.25,800.47,105.19
desert_bloom,2025-04-01,701686.16,43896.86,657789.3,93.74,585.29,48.9
riverbend,2025-04-01,172224.01,9905.06,162318.95,94.25,825.42,104.75
desert_bloom,2025-05-01,707659.94,43747.78,663912.16,93.82,583.3,46.88
riverbend,2025-05-01,198242.13,9639.05,188603.09,95.14,803.25,107.3
desert_bloom,2025-06-01,771498.07,43899.95,727598.12,94.31,585.33,47.64
riverbend,2025-06-01,195946.67,9687.63,186259.04,95.06,807.3,104.27
desert_bloom,2025-07-01,654862.28,43429.59,611432.69,93.37,579.06,47.23
riverbend,2025-07-01,169918.77,9815.51,160103.26,94.22,817.96,104.46
desert_bloom,2025-08-01,787117.37,44490.05,742627.32,94.35,593.2,48.5
riverbend,2025-08-01,205678.15,9544.02,196134.13,95.36,795.34,106.58
desert_bloom,2025-09-01,704644.1,43895.15,660748.94,93.77,585.27,49.43
riverbend,2025-09-01,170194.76,9802.58,160392.19,94.24,816.88,103.71
desert_bloom,2025-10-01,615720.7,43270.6,572450.1,92.97,576.94,49.17
riverbend,2025-10-01,126849.47,9561.76,117287.7,92.46,796.81,105.26
desert_bloom,2025-11-01,516044.04,44102.81,471941.23,91.45,588.04,47.81
riverbend,2025-11-01,91224.16,9805.77,81418.39,89.25,817.15,105.17
desert_bloom,2025-12-01,443167.3,44124.09,399043.21,90.04,588.32,48.97
riverbend,2025-12-01,71391.11,9807.47,61583.64,86.26,817.29,105.92
desert_bloom,2026-01-01,494963.68,43330.72,451632.96,91.25,577.74,49.13
riverbend,2026-01-01,83315.25,9915.55,73399.7,88.1,826.3,106.3
desert_bloom,2026-02-01,517954.84,42583.48,475371.35,91.78,567.78,47.76
riverbend,2026-02-01,101654.3,9878.01,91776.29,90.28,823.17,105.0
desert_bloom,2026-03-01,626597.94,44662.95,581934.99,92.87,595.51,47.87
riverbend,2026-03-01,141856.98,9526.2,132330.78,93.28,793.85,103.38
desert_bloom,2026-04-01,679003.47,43776.64,635226.83,93.55,583.69,47.52
riverbend,2026-04-01,180323.48,9657.88,170665.6,94.64,804.82,108.81
