file_name,key_item,Legal Terms,Predicted Legal Terms,levenshtein_distance,levenshtein_distance_scaled,cosine_similarity
,,,,506.8360655737705,0.7961525836396022,0.7501222411172742
,Amendments and/or Estoppels,,,,,
,Assignment by Lessee,,,,,
,Assignment by Lessor,,,,,
,Co-terminus with PPA (Y/N),,,181.0,0.8044444444444444,0.6978144675063667
,Default,,,,,
,Effective Date,,,101.5,0.7505985543972944,0.7191506849146692
,Eminent Domain,,,,,
,Expiration Date,,,,,
,Fee Simple Lessor  (Y/N),,,,,
,Fee Simple Owner (Y/N),,,129.0,0.8707937877480587,0.6443743796329903
,First Payment Due,,,,,
,Force Majeure,,,,,
,Governing Law,,,,,
,Initial Term,,,1488.5,0.708251374764092,0.8038868412017793
,Lessee (Tenant) Entity Name,,,,,
,Lessor (Landlord) Entity Name,,,243.6,0.9079563420905605,0.6736365612759385
,Liens,,,793.75,0.7549984816935624,0.8428515388799832
,Non-Disturbance Requirements,,,,,
,Payment Terms,,,279.6,0.7931912164848408,0.717999353663805
,"Per Per ($/kWH, $/kW, $/MW, $/MWh, etc.)",,,,,
,Prevailing Party Provision (Y/N),,,230.0,0.9519257150696208,0.5263464637048937
,Property Size,,,,,
,Property Tax ($),,,,,
,Purchase Options,,,187.0,0.7857142857142857,0.6603220900474859
,Purchase Options (Y/N),,,,,
,Quiet Enjoyment,,,,,
,Removal Requirements,,,520.5,0.7189402708646835,0.8486806254334922
,Removal Timeline & Expectations,,,432.4,0.726608527339109,0.851844421415497
,Renewal Terms,,,662.3333333333334,0.744168461641649,0.8597437409352068
,Rent Amount,,,506.2,0.8607246535130271,0.7217915802081789
,Rent Calculation,,,490.0,0.8305084745762712,0.7561551063463026
,Rent Commencement,,,169.0,0.8068157105092809,0.6836905257682948
,Rent Escalator (Amount),,,,,
,Rent Escalator (Y/N),,,,,
,Rent Escalator Effective Date,,,135.66666666666666,0.7913251374288938,0.7060140540700863
,SNDA,,,,,
,Site Access Rights,,,909.6,0.753110857797213,0.8778734312090763
,Site Control Terms,,,,,
,Site Lease Prepayment (Amount),,,585.0,0.8836858006042296,0.685505420933188
,Site Lease Prepayment (Y/N),,,147.0,0.9932432432432432,0.5553901368038212
,Summary of Economic Terms,,,,,
,Termination & Removal - Lessee,,,,,
,Termination & Removal - Lessor,,,,,
,Termination - Notice Requirements,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,,,,425.85714285714283,0.8100241763376849,0.8072792323203543
Site Lease - GLD - Canton (ES).pdf,,,,917.9090909090909,0.8321773453732597,0.7086534277545781
Site Lease - GLD - Hi Lo Biddy.pdf,,,,359.72727272727275,0.8116271102976779,0.7213074934713665
Site Lease - Shine - DuQuoin.pdf,,,,530.3333333333334,0.7952429718654089,0.771194497481877
Site Lease - Shine - John A Logan (ES).pdf,,,,527.3333333333334,0.7923728138188314,0.7774228070137236
Site Lease - SunRaise - Enterprise Ave. Gardiner.pdf,,,,384.3,0.7560000039436959,0.7492247018814913
Site Lease - SunRaise - Happy Hollow (ES).pdf,,,,369.3,0.7727594601729233,0.7592981102637343
Site Lease - Blue Sky- Felicita Town Center.pdf,Amendments and/or Estoppels,," Section: ADDITIONAL DOCUMENTS.
Text: ESTOPPEL CERTIFICATE..",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Assignment by Lessee,Section IX Page 37,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Assignment by Lessor,Section IX Page 37,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Co-terminus with PPA (Y/N),," TERM: Co-terminus with PPA (Y/N)
DEFINITION: Do the term of the lease and PPA run concurrently

CORRECT ANSWER:
Section of the document: Paragraph III.C.
VNMP License; Landlord Obligations.
Landlord hereby appoints Tenant, for a period co-terminus with this
Lease, as its exclusive agent with all necessary delegated authorities to perform the VNMP
Services as defined in Paragraph III.C.",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Default,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Effective Date,"THIS SITE LEASE AGREEMENT), (“Leasé”)) is made and entered into as of this 30 day of September 2019 (the ""Effective Date"")"," TERM: Effective Date
DEFINITION: Effective Date is defined in the preamble of this Lease",94.0,0.7704918032786885,0.7887518411850236
