Key Items,Instructions,Definitions
Effective Date,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Effective Date from the text in this format:
<example>
Text:
```
entered into as of this 6th day of October, 2020 (the “Effective Date”)...
```
Data retrieved:
October 6, 2020</example>


<example>
Text:
```
This Agreement is made as of July 1, 2019....
```
Data retrieved:
July 1, 2019</example>


<example>
Text:
```
This Engineering, Procurement and Construction Contract (this “Contract”) is entered into as of July 22, 2020 (the “Effective Date”)....
```
Data retrieved:
July 22, 2020</example>

",The date on which the terms and conditions of the contract become enforceable.
Owner,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Owner from the text in this format:
<example>
Text:
```
Pequawket Trail
Baldwin Solar, LLC, a Delaware limited liability company...
```
Data retrieved:
Pequawket Trail Baldwin Solar, LLC</example>


<example>
Text:
```
SOLOPS, LLC...
```
Data retrieved:
SOLOPS, LLC</example>


<example>
Text:
```
233 Randolph 74 Solar I, LLC, a North Carolina limited liability company....
```
Data retrieved:
233 Randolph 74 Solar I, LLC</example>

",The entity that owns the project site and enters into the contract with the EPC contractor for the construction of the solar energy facility.
EPC Contractor Name,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve EPC Contractor Name from the text in this format:
<example>
Text:
```
THIS ENGINEERING, PROCUREMENT AND CONSTRUCTION SERVICES AGREEMENT (this “Agreement”) is made and entered into as of this 15th day of May 2020 (the “Effective Date”) by and between Blue Sky Utility 201...
```
Data retrieved:
Bright Power, Inc. dba BPi</example>


<example>
Text:
```
Borrego Solar Systems, Inc., a California
corporation...
```
Data retrieved:
Borrego Solar Systems, Inc.</example>


<example>
Text:
```
Novel Energy Construction 2 LLC, a Minnesota limited liability company...
```
Data retrieved:
Novel Energy Construction 2 LLC</example>

","The name of the contractor responsible for engineering, procurement, and construction services under the agreement."
System Size,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve System Size from the text in this format:
<example>
Text:
```
2.4.1 - This project will be priced, using union AC electrical labor, at $1.90 per DC Watt. The estimated size of this project will be 552,750 DC Watts....
```
Data retrieved:
552,750 DC Watts</example>


<example>
Text:
```
Owner is developing an approximately 1.4 MWDC solar photovoltaic electric generating facility located at 1645 13th St. NW, Byron MN, 55920....
```
Data retrieved:
1.4 MWDC</example>


<example>
Text:
```
Recital A - Owner is developing a solar photovoltaic energy system facility of a size rated approximate 4.06068 MW (DC) peak capacity, as further described and depicted on Exhibit B....
```
Data retrieved:
4.06068 MW (DC)</example>

","The total capacity of the solar power system to be installed, usually measured in megawatts (MW) or kilowatts (kW)."
Address,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Address from the text in this format:
<example>
Text:
```
Owner is developing an approximately 1.4 MWDC solar photovoltaic electric generating facility located at 1645 13th St. NW, Byron MN, 55920....
```
Data retrieved:
1645 13th St. NW, Byron MN, 55920.</example>


<example>
Text:
```
Recital A - 5563 Lakeville Road, Geneseo, New York, 14454...
```
Data retrieved:
5563 Lakeville Road, Geneseo, New York, 14454</example>


<example>
Text:
```
Exhibit A - 1855 South Centre City Pkwy, Escondido, CA 92025...
```
Data retrieved:
1855 South Centre City Pkwy, Escondido, CA 92025</example>

",The physical location where the solar power facility is to be constructed.
Construction Status,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Construction Status from the text in this format:
<example>
Text:
```
Complete...
```
Data retrieved:
Complete</example>

","Current phase of the construction process, typically described as planned, in progress, or completed."
Mechanical Completion - Definition,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Mechanical Completion - Definition from the text in this format:
<example>
Text:
```
Section 10.1 Mechanical Completion
 Mechanical Completion. Contractor shall have achieved ""Mechanical Completion"" when
cach of the following conditions has been met in respect of the Facility:
 (a)...
```
Data retrieved:
Contractor has completed (i) the design, engineering, and procurement; (ii) and properly installed all inverters and ancillary
Equipment; (iii) and properly installed the racking system and all panels; (iv) and properly installed all AC and DC wiring; (v) protective and control features installation; and the construction of the Facility such that the Facility is ready for continuous operation to the extent permissible.</example>


<example>
Text:
```
""4.4	Mechanical Completion.
(a)	Mechanical Completion of the Project. The following are the conditions precedent for the Project to achieve Mechanical Completion:
(i)	the Project, inclusive of all Equ...
```
Data retrieved:
All Equipment has been completely installed; Project is ready to be synchronized and ready to be
interconnected; and Project has not received any backfeed power.</example>


<example>
Text:
```
(b) Mechanical Completion of the Facility. ""Mechanical Completion"" of the Facility shall mean and shall be deemed to have occurred when each of the following conditions has been satisfied:
(1) the Fa...
```
Data retrieved:
4.3(b)</example>

","The point at which the installation of all major equipment is completed and the system is capable of operating in a standalone mode, although it may not yet be connected to the grid."
Substantial Completion - Definition,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Substantial Completion - Definition from the text in this format:
<example>
Text:
```
""4.5	Substantial Completion.
(a)	Substantial Completion of the Project.	The following are the conditions precedent for the Project to achieve Substantial Completion:
(i)	the Project has achieved Mecha...
```
Data retrieved:
Project has achieved Mechanical Completion; liquidated damages paid; successful completion the Capacity Test; Project complies with all requirements;completed in conformance with the terms and conditions; Governmental Approvals have been received; all Lien waivers received by Owner; and agreed on the Punch List.</example>


<example>
Text:
```
12.30 - The state in the progress of the Work when the following have occurred: (1) mechanical and electrical completion of the Project; (2) receipt of a Certificate of Occupancy or an equivalent docu...
```
Data retrieved:
The state in the progress of the Work when the following have occurred: (1) mechanical and electrical completion of the Project; (2) receipt of a Certificate of Occupancy or an equivalent document from the authority having jurisdiction (“AHJ”); (3) receipt of Permission to Operate from the local Utility; and (4) completion of a functioning data acquisition system with a utility grade meter.</example>


<example>
Text:
```
""Substantial Completion"" means that each of the following has been achieved in accordance with Prudent Industry
Practices and the other requirements of this Agreement to the reasonable satisfaction o...
```
Data retrieved:
Exhibit D</example>

","The stage at which the solar facility is deemed sufficiently complete, according to the contract specifications, to begin functional operation, pending minor finishing works."
Final Completion - Definition,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Final Completion - Definition from the text in this format:
<example>
Text:
```
""4.6	Final Acceptance.
(a)	Final Acceptance of the Project. The following are the conditions precedent for the Project to achieve Final Acceptance:
(i)	Substantial Completion has been achieved;
(ii)	C...
```
Data retrieved:
Substantial completion has achieved; contractor has delivered lien waivers; and Punch List shall have been completed</example>


<example>
Text:
```
Section 10.7 Final Completion
 Contractor shall have achieved ""Final Completion"" when each of the following conditions
has been met in respect of the Facility
(a) all of the Work shall be complete,...
```
Data retrieved:
All of the Work shall be complete; Substantial Completion has been achieved; Delivery to Owner of Lien Waivers; Contractor’s obligations required to be performed on or before Final Completion have been completely and satisfactorily performed; documentation and records listed delivered; delivered the Warranty Period Bond to Owner; Contractor has constructed the Facility in accordance with the EPC Requirements and the Interconnection Service Agreements; removed all Contractor equipment; paid to Owner all damages due; delivered all reports, contracts, certificates and other items required; stamped as-built civil and electrical drawings of the Facility have been delivered to Owner; and issued and delivered a Certificate of Final Completion to Owner.</example>


<example>
Text:
```
12.15 - The stage in the progress of the Work when the Work or an Owner-designated portion of it is totally complete and the Design-Builder has satisfied every associated requirement under the Contrac...
```
Data retrieved:
The stage in the progress of the Work when the Work or an Owner-designated portion of it is totally complete and the Design-Builder has satisfied every associated requirement under the Contract.</example>

","The stage at which all construction activities have been completed, all systems are operational, final inspections have been passed, and all contractual obligations are fulfilled."
Mechanical Completion Date,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Mechanical Completion Date from the text in this format:
<example>
Text:
```
SCHEDULE J - PROJECT SCHEDULE
Activity, Completion Dates (in Business Days)
NTP to Mobilize Construction, Day 0
Construction Mobilization, Day 10
AE MV Audit, Day 121
Mechanical Completion, Day 1...
```
Data retrieved:
128 days after NTP date</example>


<example>
Text:
```
4.4(b) - The “Mechanical Completion Date” of the Project shall be the day after the date on which the last of the conditions of Section 4.4(a) was satisfied or, in the sole discretion of Owner, waived...
```
Data retrieved:
December 23, 2019</example>


<example>
Text:
```
2.12(a) - Contractor shall cause the Facility to achieve Mechanical Completion on or before January 8, 2021  (such date, as it may be adjusted herein, the “Guaranteed Mechanical Completion Date....
```
Data retrieved:
January 8, 2021</example>

",The scheduled date by which mechanical completion is expected to be achieved as per the contract.
Is Substantial Completion Date within 3 months of Mechanical Completion Date?,"Retrieve Is Substantial Completion Date within 3 months of Mechanical Completion Date? from the text.
Definitions: Is Substantial Completion Date within 3 months of Mechanical Completion Date? - Indicates whether the substantial completion date falls within three months after the mechanical completion date, as specified in the contract..
","Indicates whether the substantial completion date falls within three months after the mechanical completion date, as specified in the contract."
