Key Items,Instructions
Effective Date,"## Finding the Effective Date in a Solar Interconnection Agreement:

**Keywords to Look For:**

*   ""Effective Date""
*   ""Execution""
*   ""Effective Upon""
*   ""Commencement Date""

**Patterns to Identify:**

*   Dates written in various formats (e.g., MM/DD/YY, Month DD, YYYY)
*   Clauses indicating the agreement starts upon signature by all parties
*   Sections referencing the agreement's start date

**Sections to Focus On:**

*   **Article/Section 1 or 3:** These sections commonly contain definitions and general provisions, often including the effective date.
*   **Signature Page:** Look for dates near the signatures, which might indicate the last signing date and, consequently, the effective date.
*   **Exhibit A or Appendix:**  Sometimes, the effective date might be specified within these sections, especially if it's contingent on specific conditions or milestones.

**Examples of How the Effective Date Might Appear:**

*   **Direct Statement:** ""The Effective Date of this Agreement is March 15, 2023.""
*   **Upon Execution Clause:** ""This Agreement shall become effective upon execution by all Parties.""
*   **Reference to Signature Date:** ""The Effective Date shall be the date of the last Party's signature.""
"
Interconnection Utility Company,"## Finding the Interconnection Utility Company in Solar Energy Interconnection Agreements

Here's how to identify and extract examples of the ""Interconnection Utility Company"" from a solar energy interconnection agreement during due diligence:

**Keywords and Patterns:**

*   **Direct Naming:** Look for explicit mentions like ""Interconnection Utility"", ""Utility"", ""Transmission Provider"", ""Distribution Provider"", or ""Grid Operator"".
*   **Company Name Patterns:** Search for terms like ""Company"", ""Corp."", ""LLC"", ""Inc."", or ""Limited"" which often appear as part of the utility company's name.
*   **State References:**  Look for mentions of states, particularly in conjunction with ""Public Utilities Commission"" or abbreviations like ""PUC"" or ""PSC"", which can help identify the relevant utility companies operating in the project's location.
*   **Acronyms:** Be aware of potential acronyms like ""EDC"" (Electric Distribution Company) used in the examples provided.

**Sections to Focus On:**

*   **Definitions or Recitals:**  The agreement will likely define key terms like ""Interconnection Utility"" or ""Utility"" early on.
*   **Interconnection Application/Request:** This section may explicitly name the utility company where the interconnection application was submitted.
*   **Point of Interconnection:** Look for descriptions of the physical location where the solar project connects to the grid, as this may reference the responsible utility's infrastructure.
*   **Technical Exhibits/ Appendices:** These sections might contain diagrams, maps, or technical specifications that identify the involved utility company.

**Examples of Search Queries:**

*   ""Interconnection Utility""
*   ""Company [State Name]"" (e.g., ""Company California"")
*   ""Electric Distribution Company"" AND ""[State Name]""
*   ""[Acronym]"" (e.g., ""PGE"")

**Extracting Examples:**

Once you've identified sections mentioning the Interconnection Utility Company using the methods above, extract the full and official name of the company, including any abbreviations or parent company information provided.
"
Interconnection Customer,"## Finding the Interconnection Customer in Solar Interconnection Agreements:

**Keywords and Patterns:**

*   ""Interconnection Customer""
*   ""Applicant""
*   ""Customer"" (in the context of interconnection)
*   Project name followed by LLC, Inc., or similar entity indicators.
*   City or municipality names.

**Sections to Focus On:**

*   **Definitions or Recitals:** The agreement usually defines the Interconnection Customer early on.
*   **Project Description:** Look for sections describing the project and its ownership.
*   **Signatures:** The Interconnection Customer often signs the agreement, revealing their identity.

**Examples of How to Spot the Interconnection Customer:**

*   **Direct Identification:** The agreement may explicitly state, ""The Interconnection Customer is [Name of Entity].""
*   **Project Name and Entity Type:** Look for phrases like ""Brixmore Felicita Town Center"" followed by entity indicators such as ""LLC"" or ""Inc.""
*   **Applicant Designation:** If the term ""Applicant"" is used, check if it aligns with the context of interconnection and project ownership.
*   **City or Municipality as Customer:**  In cases like ""City of DuQuoin,"" the municipality itself may be the Interconnection Customer.

**Additional Tips:**

*   Pay attention to the context of the terms. Not every mention of ""Customer"" refers to the Interconnection Customer.
*   Cross-reference with other sections of the agreement to confirm the identity of the Interconnection Customer.
"
Nameplate Capacity (System Size),"## Finding Nameplate Capacity in a Solar Interconnection Agreement:

**Keywords to search for:**

*   Nameplate Capacity
*   System Size
*   kW (kilowatt)
*   MW (megawatt)
*   DC (direct current)
*   AC (alternating current)
*   Generator
*   Photovoltaic
*   Small Generator Facility

**Patterns to identify:**

*   Numbers followed by kW or MW (e.g., 2.6 kW, 3.00 MW)
*   ""Nameplate capacity of..."" followed by a number and unit
*   References to Appendix or Exhibit containing system size information

**Sections to focus on:**

*   Project Description
*   Technical Specifications
*   Equipment Specifications
*   Appendix/Exhibits related to system size or equipment details

**Examples of how Nameplate Capacity might appear:**

*   ""The Project will have a **Nameplate Capacity of 5 MW AC**.""
*   ""Appendix A details the system components and their respective **kW ratings**.""
*   ""The **Small Generator Facility** will consist of a **photovoltaic system with a capacity of 1,200 kW DC**.""
"
Nameplate Capacity Limits,"## Finding Nameplate Capacity Limits in Interconnection Agreements:

**Keywords to look for:**

*   Nameplate Capacity
*   System Size
*   MW (Megawatts)
*   kW (Kilowatts)
*   Maximum Allowable
*   Limited to
*   Not to Exceed

**Patterns to identify:**

*   Numbers followed by MW or kW, often with decimals (e.g., 1.5 MW, 2.000 kW)
*   Phrases indicating limitations or maximums (e.g., ""limited to"", ""not to exceed"", ""maximum allowable"")
*   References to specific equipment types (e.g., photovoltaic, PV)

**Sections to focus on:**

*   **Project Description:** This section usually outlines the size and type of the proposed solar facility.
*   **Technical Specifications:** Look for details about the system's capacity and any limitations.
*   **Interconnection Requirements:** This section often specifies the maximum allowable size for interconnection.
*   **Appendices:** Technical appendices may contain detailed specifications and calculations related to system capacity.

**Examples of how the term might appear:**

*   ""The Project will have a **nameplate capacity** of 2.5 MW.""
*   ""The **system size** is **limited to** 1.0 MW due to feeder constraints.""
*   ""The maximum **allowable PV** is 500 kW at unity power factor.""
"
Term,"## Finding Term Clauses in Interconnection Agreements:

**Keywords to Look for:**

*   Term
*   Effective Date
*   Duration
*   Period
*   Termination

**Patterns to Identify:**

*   Section numbers starting with ""Term"" or ""Effective Date"" (e.g., 1.1, 3.2)
*   Clauses mentioning the agreement's starting date and duration (e.g., ""This Agreement shall become effective..."" and ""...remain in effect for a period of..."")
*   References to termination clauses (e.g., ""...unless terminated earlier in accordance with Article 3.3..."")
*   Dates or specific timeframes (e.g., ""December 8, 2020"", ""ten years"", ""perpetual"")

**Sections to Focus On:**

*   **Article 1 or the initial sections of the agreement:** These sections typically define key terms and the effective date.
*   **Article 3 or sections related to the term and termination:** Look for specific clauses outlining the duration of the agreement, renewal options, and termination conditions.
*   **Schedules or exhibits:** Sometimes, the term of the agreement might be detailed in separate schedules or exhibits attached to the main agreement.

**Examples of How Term Clauses May Appear:**

*   ""This Agreement shall commence on the Effective Date and shall continue in full force and effect for a period of twenty (20) years...""
*   ""The Term of this Agreement shall be for a period of ten (10) years from the Effective Date, unless earlier terminated as provided herein.""
*   ""This Agreement shall remain in effect until terminated by either Party upon thirty (30) days' prior written notice to the other Party.""

**Additional Tips:**

*   Pay attention to the language used to describe the term, such as ""perpetual,"" ""month-to-month,"" or specific timeframes.
*   Note any conditions or events that could trigger early termination of the agreement.
*   Cross-reference with other sections of the agreement, especially termination clauses, to fully understand the term and its implications.
"
Mechanical Completion Date,"## Finding ""Mechanical Completion Date"" in a Solar Interconnection Agreement:

**Keywords to search for:**

*   ""Mechanical Completion""
*   ""Mechanical Completion Date""
*   ""Substantial Completion"" (sometimes used interchangeably)
*   ""Ready for Commissioning""
*   ""Completion of Construction""

**Patterns to identify:**

*   Dates followed by the keywords above.
*   Clauses outlining requirements to achieve Mechanical Completion.
*   Sections dealing with project timelines, milestones, or construction phases.

**Sections to examine:**

*   **Definitions or Recitals:** Often, key terms like ""Mechanical Completion Date"" are defined upfront.
*   **Project Timelines or Milestones:** Look for sections outlining the project schedule, including key dates and deadlines.
*   **Construction or Installation Requirements:** Sections detailing construction obligations may mention Mechanical Completion as a milestone.
*   **Testing and Commissioning:**  The agreement might specify Mechanical Completion as a prerequisite for starting these activities.

**Examples of how the term might appear:**

*   ""The 'Mechanical Completion Date' is defined as [Date], or as otherwise agreed to by the Parties in writing.""
*   ""The Interconnection Customer shall achieve Mechanical Completion of the Generating Facility by [Date].""
*   ""Upon Mechanical Completion, the Interconnection Customer shall notify the Interconnection Company and schedule the commencement of commissioning tests.""
"
Commercial Operation Date,"## Finding the Commercial Operation Date (COD) in a Solar Interconnection Agreement

Here's how to pinpoint the Commercial Operation Date (COD) within a solar interconnection agreement document:

**Keywords to Look for:**

*   ""Commercial Operation Date""
*   ""COD""
*   ""Grid Connection Date""
*   ""Date of Interconnection""
*   ""Service Commencement Date""

**Patterns to Identify:**

*   Dates mentioned in context of project completion, grid connection, or power sales.
*   Sections referencing testing, commissioning, or final approvals.

**Section Numbers to Explore:**

*   **Project Schedule or Timeline sections:** Look for sections outlining the project's development phases and key milestones.
*   **Interconnection Requirements or Procedures sections:** These sections may specify the process and timeline for connecting to the grid.
*   **Definitions or Glossary section:** The document might explicitly define ""Commercial Operation Date"" and provide its specific meaning within the agreement.

**Example Search Strategies:**

1. **Direct Search:** Use the ""Find"" function (Ctrl+F or Cmd+F) to search for the exact term ""Commercial Operation Date"" or its abbreviation ""COD"".
2. **Contextual Search:** Search for keywords like ""grid connection"", ""power sales"", or ""project completion"" and then scan the surrounding text for date references.
3. **Section Review:**  Carefully examine the sections mentioned above, paying close attention to dates and timelines related to project milestones.

**Applying the Example:**

In the provided example ""2.8 - anticipated 4/30/21"", it's likely that:

*   **""2.8""** refers to a specific section or clause within the agreement.
*   **""anticipated 4/30/21""** indicates the expected COD, suggesting it's an estimation or target date.

To verify, navigate to section 2.8 of the agreement and analyze the context to confirm if it relates to the project's Commercial Operation Date.
"
Deadline to Interconnect Date,"## Finding ""Deadline to Interconnect Date"" in a Solar Energy Interconnection Agreement

Here's how to identify the ""Deadline to Interconnect Date"" within a solar energy interconnection agreement:

**Keywords to Search:**

*   Interconnection Date
*   Deadline
*   Completion of Construction
*   Commercial Operation Date (COD)
*   In-Service Date
*   Permission to Operate (PTO)
*   Milestone Schedule

**Sections to Examine:**

*   **Project Schedule or Timeline:** Look for sections outlining the project's phases and associated deadlines.
*   **Milestones:**  Often listed as an appendix or within the project schedule, search for specific milestones related to interconnection, testing, and permission to operate.
*   **Conditions Precedent:**  This section may outline requirements that must be met before interconnection can occur, potentially including a deadline.

**Patterns to Identify:**

*   **Dates associated with keywords:** Look for specific calendar dates mentioned in conjunction with the keywords listed above.
*   **Timeframes:**  Search for phrases indicating timeframes, such as ""within X days of,"" ""no later than,"" or ""by [Date].""
*   **Conditional Language:**  Pay attention to clauses outlining conditions that must be met before interconnection can occur, as these may indirectly reference deadlines.

**Examples of How the Term Might Appear:**

*   ""The Interconnection Date shall be no later than [Date].""
*   ""The System must achieve Commercial Operation by [Date].""
*   ""Milestone X: Permission to Operate - [Date]""
*   ""The Parties agree to use commercially reasonable efforts to achieve interconnection within [Number] days of [Triggering Event].""

**Remember:** The specific wording and location of the ""Deadline to Interconnect Date""  will vary depending on the individual agreement.  Utilize the keywords, sections, and patterns mentioned above to effectively locate this crucial information.
"
Amendments and/or Assignments,"## Finding Amendments and Assignments Clauses in Interconnection Agreements:

**Keywords to Search:**

*   Amendment
*   Assign* (to capture variations like ""assign,"" ""assigned,"" ""assigning,"" etc.)
*   Consent
*   Modification
*   Transfer

**Patterns to Look For:**

*   Section headings related to ""Assignment,"" ""Amendment,"" ""Miscellaneous,"" ""General Provisions,"" or similar.
*   Clauses using the keywords above, often with terms like ""written consent,"" ""prior approval,"" ""shall not,"" ""only by,"" etc.
*   Numbered sections (e.g., 11.5, 8.6) which often signify specific clauses within the agreement.

**Section Numbers (Examples):**

While section numbering can vary between agreements, common locations for amendments and assignments clauses include:

*   **Section 8-12:** Often dedicated sections for ""Assignment,"" ""Amendment,"" or within ""Miscellaneous Provisions.""
*   **Section 20-25:**  Sometimes found within ""General Provisions"" or towards the end of the agreement.

**Instructions:**

1. **Utilize the ""Find"" function:** In your document viewer or text editor, use the ""Find"" or ""Search"" function to locate the keywords listed above. This will help you quickly identify relevant sections.
2. **Scan section headings:** Look for sections titled ""Assignment,"" ""Amendment,"" ""Miscellaneous Provisions,"" ""General Provisions,"" or similar. These sections are likely to contain clauses related to amendments and assignments.
3. **Review numbered sections:** Pay close attention to clauses within numbered sections (e.g., 8.6, 11.5) as these often address specific contractual terms, including amendments and assignments.
4. **Read the identified clauses carefully:** Once you've located potential clauses, read them thoroughly to understand the specific requirements and restrictions regarding amendments and assignments of the interconnection agreement.
5. **Extract relevant examples:**  Copy the exact wording of clauses related to amendments and assignments, including the section number, to build your collection of examples.
"
