Key Items,Definitions
Effective Date,The date in which the agreement is deemed effective
Term,Period of time that agreement is in place and enforceable
Offtaker,Offtaker is a term used for the customers who will be using/purchasing the power generated by the solar facility
Provider,Person selling the power
Power Purchase Agreement Rate,Rare being paid for the power produced at the site.
Power Purchase Agreement End Date,The date that the PPA expires
Renewal Terms,The terms under which the PPA can be extended/renewed past the initial term
Commercial Operation Date Definition,"How is COD defined? It should be the date that the project is connected to the gird and able to sell power, but we want to document the way it is listed in the agreement. This is a defined term."
Commercial Operation Date,The date on which the project is able to begin producing power and pushing it to the grid and/or billing
Mechanical Completion Date,"Date on which the contractor ensures to have completed the construction of th Facility such that the Facility is ready for continuous operation to the extent permissible and possible prior to interconnection, pending only the interconnection and synchronization of the Facility with Utility’s distribution system"
Other Dates/Deadlines Referenced,"Any other specific dates that are called out in the agreement that need to be brought to our attention (i.e. milestones, payments, notice requirements, reporting, etc.)"
Buyout Option,The right of either party to buyout the other party
Buyout Amount,The amount ($) of purchase should a buyout occur
Nameplate Capacity,Amount of power the system should produce in a year
Projected Production,The amount of power being produced by the project (usually annually)
Degradation Amount,"The system degrades; loses the ability to produce power each year. This is taken into account when documenting the projected power, production guarantee, etc. We must list any expectations that are documented within the agreement"
Production Guarantee,Project must produce a minimum amount of power.
Metering Adjustment,"In the event a meter does not capture the correct production numbers, what happens?"
Summary of Economic Terms (PPA Rate Table),Costs and other payments made from one party to another; PPA Rate Table
Insurance Requirements,Insurance requirements
Prevailing Party Provision,Whether prevailing party in any dispute and/or litigation gets its legal costs covered by non prevailing party
Governing Law,The laws of the jurisdiction that the agreement is to be enforced
Default - Offtaker,Offtaker's failure to fulfill its key obligations under the agreement. Offtaker is defined as the customer purchasing power.
Default - Provider,Provider's failure to fulfill its key obligations under the agreement. Provider is defined as the individual selling the power.
Termination - Offtaker,Circumstances in which Offtaker can terminate the agreement
Termination - Provider,Circumstances in which Provider can terminate the agreement
Assignment - Offtaker,"Offtaker's ability to assign (i.e. transfer its rights, duties, and obligations of the agreement) to someone else"
Assignment - Provider,"Provider's ability to assign (i.e. transfer its rights, duties, and obligations of the agreement) to someone else"
Force Majeure,"Contract clause that removes liability for catastrophic, unforeseen events that prevent participants from fulfilling obligations"
Amendments and/or Estoppels,Amendments are formally recognized and agreed upon changes to the agreement on which all agreement parties agree; estoppels are assertions by one or more parties to the agreement that the agreement remains in full force and effect and that all parties remain in good standing with respect to the agreement
Tax Responsibilities,The party responsible for paying taxes
