file_name,key_item,Legal Terms,Predicted Legal Terms,levenshtein_distance,levenshtein_distance_scaled,cosine_similarity
,,,,545.8032786885246,0.6628765606591457,0.8147801075976525
,Amendments and/or Estoppels,,,,,
,Assignment by Lessee,,,,,
,Assignment by Lessor,,,,,
,Co-terminus with PPA (Y/N),,,180.0,0.8,0.7047686529807741
,Default,,,,,
,Effective Date,,,80.25,0.49279267830406537,0.8055388105235227
,Eminent Domain,,,,,
,Expiration Date,,,,,
,Fee Simple Lessor  (Y/N),,,,,
,Fee Simple Owner (Y/N),,,549.6666666666666,0.6622468170810119,0.7889473028218507
,First Payment Due,,,,,
,Force Majeure,,,,,
,Governing Law,,,,,
,Initial Term,,,203.66666666666666,0.5067450937950219,0.8801999572503112
,Lessee (Tenant) Entity Name,,,,,
,Lessor (Landlord) Entity Name,,,258.4,0.8367153932081894,0.7473147409870067
,Liens,,,801.0,0.7595307804348281,0.8694152570013927
,Non-Disturbance Requirements,,,,,
,Payment Terms,,,427.8,0.7141485217763929,0.854487321830361
,"Per Per ($/kWH, $/kW, $/MW, $/MWh, etc.)",,,,,
,Prevailing Party Provision (Y/N),,,267.0,0.7095317561598116,0.6530250085895183
,Property Size,,,,,
,Property Tax ($),,,,,
,Purchase Options,,,187.0,0.7857142857142857,0.6603220900474859
,Purchase Options (Y/N),,,,,
,Quiet Enjoyment,,,,,
,Removal Requirements,,,1485.5,0.7814209079298927,0.8711869124437652
,Removal Timeline & Expectations,,,2082.4,0.7730541161262141,0.8459672800315333
,Renewal Terms,,,303.0,0.42597123983355,0.9436889515185752
,Rent Amount,,,304.8,0.6807858132809327,0.7933234564417166
,Rent Calculation,,,2.0,0.012269938650306749,0.988393944073961
,Rent Commencement,,,311.5,0.7559192334596191,0.7006749982299242
,Rent Escalator (Amount),,,,,
,Rent Escalator (Y/N),,,,,
,Rent Escalator Effective Date,,,81.66666666666667,0.30861212410742017,0.9078930012183241
,SNDA,,,,,
,Site Access Rights,,,905.0,0.738240101445529,0.8296029413800875
,Site Control Terms,,,,,
,Site Lease Prepayment (Amount),,,585.0,0.8836858006042296,0.685505420933188
,Site Lease Prepayment (Y/N),,,147.0,0.9932432432432432,0.5553901368038212
,Summary of Economic Terms,,,,,
,Termination & Removal - Lessee,,,,,
,Termination & Removal - Lessor,,,,,
,Termination - Notice Requirements,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,,,,148.57142857142858,0.3383030231793926,0.9370768696560358
