file_name,key_item,Legal Terms,Predicted Legal Terms,levenshtein_distance,levenshtein_distance_scaled,cosine_similarity
,,,,377.95081967213116,0.6879077813733657,0.8024590412624517
,Amendments and/or Estoppels,,,,,
,Assignment by Lessee,,,,,
,Assignment by Lessor,,,,,
,Co-terminus with PPA (Y/N),,,182.0,0.8088888888888889,0.7000926753034027
,Default,,,,,
,Effective Date,,,65.0,0.38233130223169653,0.8681960371480402
,Eminent Domain,,,,,
,Expiration Date,,,,,
,Fee Simple Lessor  (Y/N),,,,,
,Fee Simple Owner (Y/N),,,121.33333333333333,0.7585612650584402,0.641044744750178
,First Payment Due,,,,,
,Force Majeure,,,,,
,Governing Law,,,,,
,Initial Term,,,203.16666666666666,0.5046594015453952,0.8818048366829911
,Lessee (Tenant) Entity Name,,,,,
,Lessor (Landlord) Entity Name,,,270.4,0.8758033410909256,0.7225900411039271
,Liens,,,649.0,0.7517853711918764,0.8545054016537358
,Non-Disturbance Requirements,,,,,
,Payment Terms,,,427.8,0.7141485217763929,0.854487321830361
,"Per Per ($/kWH, $/kW, $/MW, $/MWh, etc.)",,,,,
,Prevailing Party Provision (Y/N),,,210.5,0.8703357569106249,0.6556487799767586
,Property Size,,,,,
,Property Tax ($),,,,,
,Purchase Options,,,237.0,0.9957983193277311,0.5507464168463595
,Purchase Options (Y/N),,,,,
,Quiet Enjoyment,,,,,
,Removal Requirements,,,1091.5,0.7458929517753047,0.8828338777352681
,Removal Timeline & Expectations,,,397.0,0.7338318633326263,0.8632421168461131
,Renewal Terms,,,300.6666666666667,0.41959329879635665,0.9446847151102942
,Rent Amount,,,351.4,0.8198577956606916,0.7262342580340148
,Rent Calculation,,,375.0,0.7944915254237288,0.7392330361518344
,Rent Commencement,,,339.75,0.7554166551450411,0.7090566250756406
,Rent Escalator (Amount),,,,,
,Rent Escalator (Y/N),,,,,
,Rent Escalator Effective Date,,,82.0,0.30217283109738374,0.9077816802165922
,SNDA,,,,,
,Site Access Rights,,,905.0,0.738240101445529,0.8296029413800875
,Site Control Terms,,,,,
,Site Lease Prepayment (Amount),,,585.0,0.8836858006042296,0.685505420933188
,Site Lease Prepayment (Y/N),,,368.0,0.8105726872246696,0.7182805605393876
,Summary of Economic Terms,,,,,
,Termination & Removal - Lessee,,,,,
,Termination & Removal - Lessor,,,,,
,Termination - Notice Requirements,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,,,,269.2857142857143,0.44219542213027,0.928439948627718
Site Lease - GLD - Canton (ES).pdf,,,,298.90909090909093,0.7383228150911978,0.7657392970409126
Site Lease - GLD - Hi Lo Biddy.pdf,,,,447.09090909090907,0.7751830209034462,0.7501378695092241
Site Lease - Shine - DuQuoin.pdf,,,,413.5,0.6353907066654613,0.8143866507701344
Site Lease - Shine - John A Logan (ES).pdf,,,,318.8333333333333,0.7383071696283836,0.7914725535811454
Site Lease - SunRaise - Enterprise Ave. Gardiner.pdf,,,,444.4,0.7298400296014169,0.7813449993098834
Site Lease - SunRaise - Happy Hollow (ES).pdf,,,,412.6,0.6677854959145093,0.8327667825357509
Site Lease - Blue Sky- Felicita Town Center.pdf,Amendments and/or Estoppels,," ```
From time to time, upon written request, by either Tenant or its Solar Lender or
Landlord or its Lender, made pursuant to Paragraph X.B of this Lease, Landlord or Tenant, as
applicable, shall, within thirty (30) days after receipt of said written request, provide an estoppel
certificate certifying, to Landlord's or Tenant's respective knowledge as applicable, Tenant's or
Landlord's, as applicable, compliance with the terms of this Lease or setting forth any known
issues of noncompliance, and making such other representations, warranties and accommodations
reasonably requested by a Lender or Solar Lender
```",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Assignment by Lessee,Section IX Page 37,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Assignment by Lessor,Section IX Page 37,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Co-terminus with PPA (Y/N),," TERM: Co-terminus with PPA (Y/N)
DEFINITION: Do the term of the lease and PPA run concurrently

CORRECT ANSWER:
Section of the document: Paragraph I.D.1.a",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Default,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Effective Date,"THIS SITE LEASE AGREEMENT), (“Leasé”)) is made and entered into as of this 30 day of September 2019 (the ""Effective Date"")"," THIS SITE LEASE AGREEMENT (“Lease"") is made and entered into as of this
30 day of September 2019 (the ""Effective Date""),",8.0,0.06557377049180328,0.9906263497942661
