file_name,key_item,Legal Terms,Predicted Legal Terms,levenshtein_distance,levenshtein_distance_scaled,cosine_similarity
,,,,423.22857142857146,0.7464972998323519,0.7394227980465302
,Amendments and/or Estoppels,,,,,
,Assignment by Lessee,,,,,
,Assignment by Lessor,,,,,
,Co-terminus with PPA (Y/N),,,,,
,Default,,,,,
,Effective Date,,,107.33333333333333,0.7687182436966733,0.7027565944478544
,Eminent Domain,,,,,
,Expiration Date,,,,,
,Fee Simple Lessor  (Y/N),,,,,
,Fee Simple Owner (Y/N),,,82.5,0.8207777071413436,0.6588083060113938
,First Payment Due,,,,,
,Force Majeure,,,,,
,Governing Law,,,,,
,Initial Term,,,225.25,0.5813789364168421,0.8271690121338615
,Lessee (Tenant) Entity Name,,,,,
,Lessor (Landlord) Entity Name,,,185.33333333333334,0.7992925463375954,0.5875578271464906
,Liens,,,886.5,0.7516833554789386,0.8740195481904078
,Non-Disturbance Requirements,,,,,
,Payment Terms,,,404.3333333333333,0.8455465810444166,0.6246314224532239
,"Per Per ($/kWH, $/kW, $/MW, $/MWh, etc.)",,,,,
,Prevailing Party Provision (Y/N),,,187.0,0.7824267782426778,0.6651429244442448
,Property Size,,,,,
,Property Tax ($),,,,,
,Purchase Options,,,194.0,0.8151260504201681,0.6183405789908221
,Purchase Options (Y/N),,,,,
,Quiet Enjoyment,,,,,
,Removal Requirements,,,1828.0,0.7424857839155159,0.9292033299103228
,Removal Timeline & Expectations,,,1456.0,0.8084312316374755,0.8753617482074358
,Renewal Terms,,,70.0,0.1715686274509804,0.9906742305693736
,Rent Amount,,,339.3333333333333,0.8819740080298925,0.6331493249062595
,Rent Calculation,,,,,
,Rent Commencement,,,203.0,0.7930266269932098,0.6753837932723511
,Rent Escalator (Amount),,,,,
,Rent Escalator (Y/N),,,,,
,Rent Escalator Effective Date,,,139.5,0.7576987099459009,0.6746576569706186
,SNDA,,,,,
,Site Access Rights,,,527.0,0.6076828895010713,0.9091906428656661
,Site Control Terms,,,,,
,Site Lease Prepayment (Amount),,,294.0,0.7736842105263158,0.7682178633161046
,Site Lease Prepayment (Y/N),,,185.0,0.7429718875502008,0.7450523097575786
,Summary of Economic Terms,,,,,
,Termination & Removal - Lessee,,,,,
,Termination & Removal - Lessor,,,,,
,Termination - Notice Requirements,,,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,,,,542.2857142857143,0.7593183293818532,0.7228371057089445
Site Lease - GLD - Canton (ES).pdf,,,,348.54545454545456,0.7433524404067043,0.7159582179664472
